Id,Country ,City ,Borough,Zipcode,Zone,On street,Cross street 1,Cross street 2,Community Board,Council District,Reservation Date,Franchisee Name ,Status,Pole Class,Latitude,Longitude,X Coord.,Y Coord.
11680,USA,New York,Manhattan,10001,A,W 31st St,7th Ave,Pennsylvania Plaza,105,3,3/24/2016,Crown Castle Solutions,Installed,CITY,40.7492123,-73.9921466,986426,212235
11677,USA,New York,Manhattan,10001,A,6th Ave,W 32nd St,W 33rd St,105,3,3/24/2016,Crown Castle Solutions,Installed,CITY,40.748534,-73.9885628,987419,211988
11676,USA,New York,Manhattan,10001,A,Broadway,W 33rd St,W 34th St,105,3,3/24/2016,Crown Castle Solutions,Installed,CITY,40.7492477,-73.9883425,987480,212248
11673,USA,New York,Manhattan,10001,A,W 34th St,7th Ave,Broadway,105,3,3/24/2016,Crown Castle Solutions,Installed,CITY,40.7508645,-73.9905258,986875,212837
10466,USA,New York,Manhattan,10001,A,W34TH ST.,8TH AVE.,7TH AVE.,105,3,10/10/2014,Extenet II,Approved,CITY,40.7521932,-73.993247,986121,213321
10464,USA,New York,Manhattan,10001,A,W33RD ST.,7TH AVE.,8TH AVE.,105,3,10/10/2014,Extenet II,Approved,CITY,40.7509223,-73.9924098,986353,212858
10434,USA,New York,Manhattan,10001,A,BROADWAY,W32ND ST.,W31ST ST.,105,3,10/10/2014,Extenet II,Installed,CITY,40.7482348,-73.9882742,987499,211879
10427,USA,New York,Manhattan,10001,A,W34TH ST.,7TH AVE.,BROADWAY,105,3,10/10/2014,Extenet II,Installed,CITY,40.7509688,-73.9903706,986918,212875
10421,USA,New York,Manhattan,10001,A,W33RD ST.,7TH AVE.,6TH AVE.,105,3,10/10/2014,Extenet II,Installed,CITY,40.7496842,-73.9896995,987104,212407
10418,USA,New York,Manhattan,10001,A,W32ND ST.,7TH AVE.,6TH AVE.,105,3,10/10/2014,Extenet II,Installed,CITY,40.7491902,-73.9904539,986895,212227
10413,USA,New York,Manhattan,10001,A,W31ST ST.,7TH AVE.,8TH AVE.,105,3,10/10/2014,Extenet II,Installed,CITY,40.7492892,-73.9922512,986397,212263
10412,USA,New York,Manhattan,10001,A,W30TH ST.,7TH AVE.,6TH AVE.,105,3,10/10/2014,Extenet II,Installed,CITY,40.7479167,-73.9912697,986669,211763
10411,USA,New York,Manhattan,10001,A,W30TH ST.,BROADWAY,6TH AVE.,105,3,10/10/2014,Extenet II,Approved,CITY,40.7468955,-73.988823,987347,211391
10403,USA,New York,Manhattan,10001,A,6TH AVE.,W31ST ST.,W30TH ST.,105,3,10/10/2014,Extenet II,Approved,CITY,40.747782,-73.9891151,987266,211714
10402,USA,New York,Manhattan,10001,A,6TH AVE.,W28TH ST.,W27TH ST.,105,3,10/10/2014,Extenet II,Installed,CITY,40.7459102,-73.990476,986889,211032
10386,USA,New York,Manhattan,10001,A,W26TH ST.,7TH AVE.,8TH AVE.,105,3,10/10/2014,Extenet II,Installed,CITY,40.7465281,-73.9953841,985529,211257
10385,USA,New York,Manhattan,10001,A,W26TH ST.,6TH AVE.,7TH AVE.,105,3,10/10/2014,Extenet II,Installed,CITY,40.7453367,-73.9925584,986312,210823
9333,USA,New York,Manhattan,10001,A,7th avenue,W27th street,W28th street,105,3,4/12/2013,Extenet II,Installed,CITY,40.7466461,-73.993659,986007,211300
9316,USA,New York,Manhattan,10001,A,7th avenue,W30th street,W29th street,105,3,4/12/2013,Extenet II,Installed,CITY,40.7483669,-73.9923849,986360,211927
9315,USA,New York,Manhattan,10001,A,7th avenue,W29th street,W30th street,105,3,4/12/2013,Extenet II,Installed,CITY,40.7478756,-73.992753,986258,211748
9314,USA,New York,Manhattan,10001,A,7th avenue,W28th street,W27th street,105,3,4/12/2013,Extenet II,Installed,CITY,40.747195,-73.9935254,986044,211500
9313,USA,New York,Manhattan,10001,A,7th ave,West 26th St,West 27th st,105,3,4/12/2013,Extenet II,Installed,CITY,40.7460258,-73.9941102,985882,211074
7263,USA,New York,Manhattan,10001,A,7th Avenue,30th Street,31st Street,105,3,11/6/2009,Extenet II,Installed,CITY,40.7485069,-73.9923054,986382,211978
7064,USA,New York,Manhattan,10001,A,28th Street,8th Avenue,7th Avenue,105,3,11/6/2009,Extenet II,Installed,CITY,40.7481064,-73.9955861,985473,211832
21778,USA,New York,Manhattan,10001,A,W 26 Street,9 Avenue,8 Avenue,104,3,7/18/2019,Mobilitie II,Proposed,CITY,40.7482903,-73.9994298,984408,211899
21777,USA,New York,Manhattan,10001,A,W 28 Street,11 Avenue,12 Avenue,104,3,7/18/2019,Mobilitie II,Approved,CITY,40.7522866,-74.0051649,982819,213355
21776,USA,New York,Manhattan,10001,A,W 29 Street,12 Avenue,11 Avenue,104,3,7/18/2019,Mobilitie II,Proposed,CITY,40.7534997,-74.0061395,982549,213797
21773,USA,New York,Manhattan,10001,A,Dyer Avenue,W 30 Street,9 Avenue,104,3,7/18/2019,Mobilitie II,Approved,CITY,40.7517954,-73.9996138,984357,213176
21573,USA,New York,Manhattan,10001,A,7 AVE,W 26 St,W 25 St,104,3,7/6/2019,Extenet II,Approved,CITY,40.7456744,-73.9943556,985814,210946
21532,USA,New York,Manhattan,10001,A,W 26 ST,8 Ave,9 AVE,104,3,7/6/2019,Extenet II,Approved,CITY,40.7475355,-73.99808,984782,211624
21436,USA,New York,Manhattan,10001,A,11th Ave,Hudson Boulevard,W 30th St,104,3,7/14/2019,ZenFi,Proposed,CITY,40.7540323,-74.0034433,983296,213991
21305,USA,New York,Manhattan,10001,A,10th Ave,W 29th St,W 30th St,104,3,7/14/2019,ZenFi,Proposed,CITY,40.7516966,-74.0010719,983953,213140
21276,USA,New York,Manhattan,10001,A,10 Avenue,W 31 Street,W 30 Street,104,3,6/21/2019,Mobilitie I,Approved,CITY,40.7524047,-74.0009095,983998,213398
21214,USA,New York,Manhattan,10001,A,W 30th St,11th Ave,10th Ave,104,3,7/14/2019,ZenFi,Approved,CITY,40.7530003,-74.003021,983413,213615
21213,USA,New York,Manhattan,10001,A,W 33rd St,495,10th Ave,104,3,7/14/2019,ZenFi,Approved,CITY,40.7537469,-73.9990507,984513,213887
21212,USA,New York,Manhattan,10001,A,10th Ave,W 31st St,W 33rd St,104,3,7/14/2019,ZenFi,Proposed,CITY,40.7529811,-74.0001335,984213,213608
21208,USA,New York,Manhattan,10001,A,W 34th St,11th Ave,Hudson Blvd E,104,3,7/14/2019,ZenFi,Proposed,CITY,40.7555941,-74.0018083,983749,214560
21207,USA,New York,Manhattan,10001,A,W 28th St,8th Ave,9th Ave,104,3,7/14/2019,ZenFi,Approved,CITY,40.749251,-73.9974267,984963,212249
21206,USA,New York,Manhattan,10001,A,10th Ave,W 28th St,W 27th St,104,3,7/14/2019,ZenFi,Approved,CITY,40.75081,-74.0020753,983675,212817
18664,USA,New York,Manhattan,10001,A,34th Street,8th Avenue,9th Avenue,104,3,1/18/2018,ZenFi,Installed,CITY,40.7525061,-73.9939364,985930,213435
18489,USA,New York,Manhattan,10001,A,9th Avenue,West 30th Street,West 29th Street,104,3,1/18/2018,ZenFi,Installed,CITY,40.7505191,-73.9982243,984742,212711
18013,USA,New York,Manhattan,10001,A,W 33rd St,9th Ave,8th Ave,104,3,12/29/2017,Extenet II,Approved,CITY,40.7525913,-73.9963005,985275,213466
17035,USA,New York,Manhattan,10001,A,8th Ave,W 34th St,W 35th St,104,3,12/2/2017,Crown Castle Solutions,Proposed,CITY,40.7523277,-73.9934528,986064,213370
15934,USA,New York,Manhattan,10001,A,8th Ave,W 31st St,West 33rd Street,104,3,12/2/2017,Crown Castle Solutions,Proposed,CITY,40.7508017,-73.9946367,985736,212814
