Id,Reservation Date,Franchisee Name ,Status,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Park Advisory,Historic Landmark Advisory,Scenic Landmark Advisory,BID Advisory,School Advisory,Zipcode,Community Board,Council District
21673,07/02/2019,Crown Castle NG,Proposed,CITY,Manhattan,992974,220032,40.77060900000,-73.96850400000,A,5th Ave,W 69th St,W 70th St,,,Central Park,,,00083,164,6
21670,07/02/2019,Crown Castle NG,Proposed,CITY,Manhattan,990448,221165,40.77372100000,-73.97762250000,A,Central Park West,W 68th St,W 69th St,Central Park,,Central Park,,,00083,164,6
21353,06/25/2019,Crown Castle Solutions,Proposed,CITY,Manhattan,993230,226184,40.78749440000,-73.96757150000,A,Central Park West,W 90th St,W 89th St,Central Park,,Central Park,,,00083,164,6
18274,01/08/2018,ExteNet I,Approved,CITY,Manhattan,993428,226544,40.78848230000,-73.96685600000,A,Central Park W,W 91st St,W 90th St,Central Park,,Central Park,,,00083,164,6
18116,12/22/2017,Crown Castle NG,Installed,CITY,Manhattan,991792,220723,40.77250670000,-73.97277050000,A,Center Dr,Nell Singer Lilac Walk,Terrace Dr,Central Park,,Central Park,,,00083,164,6
17669,12/22/2017,Crown Castle NG,Approved,CITY,Manhattan,995319,224257,40.78220290000,-73.96003090000,A,5th Ave,E 87th St,E 86th St,,,Central Park,,,00083,164,6
17500,12/22/2017,Crown Castle NG,Approved,CITY,Manhattan,996190,225858,40.78659610000,-73.95688300000,A,5th Ave,E 94th St,E 93rd St,Central Park,,Central Park,,,00083,164,6
17257,12/12/2017,Crown Castle NG,Installed,CITY,Manhattan,998018,229130,40.79557420000,-73.95027510000,B,5th Ave,E 108th St,E 107th St,,,Central Park,,,00083,164,6
17048,12/12/2017,Crown Castle Fiber,Installed,CITY,Manhattan,991532,219806,40.76999000000,-73.97371020000,A,Center Dr,East Dr,65th St Transverse,Central Park,,Central Park,,,00083,164,6
16826,12/02/2017,Crown Castle Solutions,Installed,CITY,Manhattan,992152,221166,40.77372230000,-73.97147030000,A,Terrace Dr,Center Drive,East Drive,Central Park,,Central Park,,,00083,164,6
16068,12/02/2017,Crown Castle Solutions,Installed,CITY,Manhattan,992444,219078,40.76799110000,-73.97041860000,A,5th Ave,E 65th St,E 64th St,,,Central Park,,,00083,164,6
14856,04/28/2017,Crown Castle Solutions,Approved,CITY,Manhattan,990619,220473,40.77182150000,-73.97700570000,A,West Dr,Terrace Dr,Center Dr,Central Park,,Central Park,,,00083,164,6
14401,11/08/2016,ExteNet I,Approved,CITY,Manhattan,996569,230513,40.79937230000,-73.95550580000,B,7 AVE,CENTRAL PK N,EAST DR,Central Park,,Central Park,,,00083,164,6
14398,11/08/2016,ExteNet I,Installed,CITY,Manhattan,996724,226798,40.78917540000,-73.95495290000,B,5 AVE,E 98 ST,E 97 ST,,,Central Park,,,00083,164,6
14331,11/08/2016,ExteNet I,Approved,CITY,Manhattan,996164,229931,40.79777540000,-73.95696960000,B,WEST DR,102ND ST CUTOFF,7 AVE,Central Park,,Central Park,,,00083,164,6
14330,11/08/2016,ExteNet I,Installed,CITY,Manhattan,997416,230049,40.79809750000,-73.95244750000,B,MALCOLM X BLVD,CENTRAL PK N,EAST DR,,,Central Park,,,00083,164,6
14329,11/08/2016,ExteNet I,Approved,CITY,Manhattan,996212,229360,40.79620810000,-73.95679730000,B,WEST DR,102ND ST CUTOFF,7 AVE,Central Park,,Central Park,,,00083,164,6
14328,11/08/2016,ExteNet I,Installed,CITY,Manhattan,997230,227710,40.79167790000,-73.95312380000,B,5 AVE,E 102 ST,E 101 ST,,,Central Park,,,00083,164,6
14141,10/21/2016,ExteNet I,Installed,CITY,Manhattan,993546,226767,40.78909420000,-73.96642960000,A,CENTRAL PARK WEST,W 92 ST,W 93 ST,,,Central Park,,,00083,164,6
14137,10/21/2016,ExteNet I,Installed,CITY,Manhattan,996326,226070,40.78717780000,-73.95639150000,A,5 AVE,E 95 ST,E 94 ST,,,Central Park,,,00083,164,6
14132,10/21/2016,ExteNet I,Installed,CITY,Manhattan,995584,224745,40.78354200000,-73.95907320000,A,5 AVE,E 89 ST,E 90 ST,,,Central Park,,,00083,164,6
13019,09/09/2016,Crown Castle Fiber,Installed,CITY,Manhattan,989824,219423,40.76894000000,-73.97987680000,A,West Dr,Center Dr,65th St Transverse,Central Park,,Central Park,,,00083,164,6
13015,09/09/2016,Crown Castle Fiber,Installed,CITY,Manhattan,991493,221389,40.77433500000,-73.97384930000,A,Terrace Dr,West Dr,Center Drive,Central Park,,Central Park,,,00083,164,6
13013,09/09/2016,Crown Castle Fiber,Installed,CITY,Manhattan,991047,221498,40.77463450000,-73.97545950000,A,Terrace Dr,West Dr,Central Park W,Central Park,,Central Park,,,00083,164,6
13009,09/09/2016,Crown Castle Fiber,Installed,CITY,Manhattan,990080,219925,40.77031770000,-73.97895220000,A,West Dr,65th Transverse,Center Drive,Central Park,,Central Park,,,00083,164,6
12938,09/09/2016,Crown Castle Fiber,Installed,CITY,Manhattan,990665,218530,40.76648840000,-73.97684150000,A,Center Drive,W 59th St,Center Drive,Central Park,,Central Park,,,00083,164,6
12823,08/25/2016,Crown Castle Solutions,Installed,CITY,Manhattan,992215,218659,40.76684120000,-73.97124580000,A,5th Ave,E 63rd St,E 64th St,,,Central Park,,,00083,164,6
11779,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,991708,220555,40.77204570000,-73.97307400000,A,Center Dr,Nell Singer Lilac Walk,Terrace Dr,Central Park,,Central Park,,,00083,164,6
11777,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,989950,219757,40.76985670000,-73.97942170000,A,West Dr,Central Park South,65 St Transverse,Central Park,,Central Park,,,00083,164,6
11776,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,990189,218928,40.76758110000,-73.97855950000,A,Center Dr,West Dr,W 59 St,Central Park,,Central Park,,,00083,164,6
11775,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,990441,218495,40.76639250000,-73.97765020000,A,West 59th Street/Central Park South,7 Ave,6 Ave,,,Central Park,,,00083,164,6
11774,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,990857,219023,40.76784140000,-73.97614790000,A,Center Dr,West Dr,65 St Transverse,Central Park,,Central Park,,,00083,164,6
11772,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,992706,219551,40.76928910000,-73.96947210000,A,5 Ave,67 St,68 St,,,Central Park,,,00083,164,6
11766,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,991632,221235,40.77391220000,-73.97334760000,A,Terrace dr,West Dr,East Dr,Central Park,,Central Park,,,00083,164,6
11765,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,991086,221453,40.77451100000,-73.97531870000,A,John V. Lindsay Drive,Terrace Dr,W 67 St,Central Park,,Central Park,,,00083,164,6
11645,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,991739,218604,40.76669070000,-73.97296420000,A,Center Dr,Central Park South,65 St Transverse,Central Park,,Central Park,,,00083,164,6
11028,10/16/2015,Crown Castle NG,Proposed,CITY,Manhattan,993752,224396,40.78258630000,-73.96568900000,A,Great Lawn walk,E 85th St,W 86th St,Central Park,,Central Park,,,00083,164,6
11027,10/16/2015,Crown Castle NG,Proposed,CITY,Manhattan,993895,223911,40.78125490000,-73.96517330000,A,Great Lawn walk,Park Dr N,E 85th St,Central Park,,Central Park,,,00083,164,6
11026,10/16/2015,Crown Castle NG,Proposed,CITY,Manhattan,993642,223527,40.78020120000,-73.96608740000,A,Great Lawn walk,Park Dr N,E 85th St,Central Park,,Central Park,,,00083,164,6
11025,10/16/2015,Crown Castle NG,Proposed,CITY,Manhattan,993099,223921,40.78128320000,-73.96804750000,A,Great Lawn walk,Park Dr S,W 86th St,Central Park,,Central Park,,,00083,164,6
11024,10/16/2015,Crown Castle NG,Proposed,CITY,Manhattan,993314,224291,40.78229850000,-73.96727070000,A,Great Lawn walk,Park Dr S,W 86th St,Central Park,,Central Park,,,00083,164,6
11003,10/16/2015,Crown Castle NG,Installed,CITY,Manhattan,992515,224905,40.78398460000,-73.97015510000,A,Central Park West,W 84th St,W 85th St,,,Central Park,,,00083,164,6
10996,10/16/2015,Crown Castle NG,Installed,CITY,Manhattan,991850,218010,40.76506020000,-73.97256420000,A,5th Ave,60th Street,61st Street,,,Central Park,,,00083,164,6
10994,10/16/2015,Crown Castle NG,Approved,CITY,Manhattan,992944,224640,40.78325680000,-73.96860630000,A,West Dr,W 85th St,W 90th St,Central Park,,Central Park,,,00083,164,6
10302,09/26/2014,Crown Castle NG,Approved,CITY,Manhattan,989794,219552,40.76929410000,-73.97998500000,A,West Dr,Central Park South,"Central Park West, 72nd St",Central Park,,Central Park,,,00083,164,6
10301,09/26/2014,Crown Castle NG,Approved,CITY,Manhattan,991677,218779,40.76717110000,-73.97318790000,A,East Dr,E 60th St,Center Dr,Central Park,,Central Park,,,00083,164,6
10300,09/26/2014,Crown Castle NG,Approved,CITY,Manhattan,990611,218690,40.76692760000,-73.97703630000,A,Center Drive,West Dr,"Central Park S, Ave of Americas",Central Park,,Central Park,,,00083,164,6
10271,09/26/2014,Crown Castle NG,Approved,CITY,Manhattan,992571,225008,40.78426720000,-73.96995270000,A,Central Park West,W 85th st,W 84th st,,,Central Park,,,00083,164,6
10270,09/26/2014,Crown Castle NG,Installed,CITY,Manhattan,992253,224437,40.78270030000,-73.97110170000,A,Central Park West,W 82nd st,W 83rd st,,,,,,00083,164,6
10184,09/26/2014,Crown Castle NG,Installed,CITY,Manhattan,993490,220971,40.77318580000,-73.96663980000,A,5th ave,E 73rd Street,E 72nd Street,,,Central Park,,,00083,164,6
10182,09/26/2014,Crown Castle NG,Installed,CITY,Manhattan,990028,220419,40.77167370000,-73.97913950000,A,Central Park West,65th St,64th Street,,,Central Park,,,00083,164,6
10179,09/26/2014,Crown Castle NG,Installed,CITY,Manhattan,989795,220004,40.77053470000,-73.97998100000,A,Central Park West,63rd Street,64th Street,,,,,,00083,164,6
10083,09/11/2014,Crown Castle NG,Installed,CITY,Manhattan,997776,228694,40.79437790000,-73.95115000000,B,5th Ave,E 106th st,E 107th st,,,Central Park,,,00083,164,6
9778,12/20/2013,Extenet II,Installed,CITY,Manhattan,990024,218724,40.76702130000,-73.97915540000,A,CENTRAL PARK SOUTH,7th Avenue,COLUMBUS CIRCLE,,,Central Park,,,00083,164,6
9777,12/20/2013,Extenet II,Installed,CITY,Manhattan,989779,218863,40.76740300000,-73.98003970000,A,CENTRAL PARK SOUTH,7th Avenue,COLUMBUS CIRCLE,,,Central Park,,,00083,164,6
9495,08/09/2013,Crown Castle NG,Installed,CITY,Manhattan,992201,218631,40.76676440000,-73.97129640000,A,5th Ave,E 63rd St,E 62nd St,,,Central Park,,,00083,164,6
8895,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,990661,220556,40.77204930000,-73.97685400000,A,West Drive,W 67th Street,W 59th Street,Central Park,,Central Park,,,00083,164,6
8894,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,991618,220390,40.77159290000,-73.97339910000,A,Central Park Driveway,Terrace Drive,West Drive,Central Park,,Central Park,,,00083,164,6
8893,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,994057,223520,40.78018150000,-73.96458890000,A,East Drive,East 72nd Street,East 90th Street,Central Park,,Central Park,,,00083,164,6
8888,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,992750,224010,40.78152780000,-73.96930760000,A,West Drive,79th St Transverse,86th St Transverse,Central Park,,Central Park,,,00083,164,6
8886,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,992005,221226,40.77388720000,-73.97200090000,A,Terrace Drive,Central Park Driveway,East Drive,Central Park,,Central Park,,,00083,164,6
8885,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,995750,225101,40.78451890000,-73.95847320000,A,5th Avenue (Museum Mile),E 90th Street,E 91st Street,Central Park,,Central Park,,,00083,164,6
8884,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,995199,224095,40.78175840000,-73.96046450000,A,5th Avenue,East 86th Street,East 87th Street,Central Park,,Central Park,,,00083,164,6
8883,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,994788,223687,40.78063910000,-73.96194920000,A,84th St Transverse,5th Avenue,Central Park West,Central Park,,Central Park,,,00083,164,6
8882,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,994551,222877,40.77841610000,-73.96280620000,A,5th Avenue,81st Street,82nd Street,,,Central Park,,,00083,164,6
8881,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,992137,223527,40.78020270000,-73.97152170000,A,79th St Transverse,West Drive,Central Park West,Central Park,,Central Park,,,00083,164,6
8880,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,992531,223258,40.77946400000,-73.97009930000,A,79th St Transverse,West Drive,East Drive,Central Park,,Central Park,,,00083,164,6
8878,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,993515,224938,40.78407420000,-73.96654400000,A,86th St Transverse,West Drive,East Drive,Central Park,,Central Park,,,00083,164,6
8877,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,994357,224253,40.78219310000,-73.96350460000,A,86th St Transverse,East Drive,West Drive,Central Park,,Central Park,,,00083,164,6
8875,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,990416,220237,40.77117390000,-73.97773890000,A,West Drive,65th St Transverse,West Drive,Central Park,,Central Park,,,00083,164,6
8874,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,991342,219774,40.76990230000,-73.97439620000,A,Center Drive,East Drive,West Drive,Central Park,,Central Park,,,00083,164,6
7319,11/06/2009,Extenet II,Installed,CITY,Manhattan,990310,220912,40.77302660000,-73.97812090000,A,Central Park West,67th Street,68th Street,Central Park,,Central Park,,,00083,164,6
6761,04/14/2009,Crown Castle NG,Installed,CITY,Manhattan,996598,226568,40.78854430000,-73.95540830000,B,5th Ave,E 97th St,E 96th St,,,,,,00083,164,6
6759,04/03/2009,Crown Castle NG,Installed,CITY,Manhattan,994949,223589,40.78036990000,-73.96136800000,A,5th Ave,E 84th St,E 85th St,,,Central Park,,,00083,164,6
6757,04/03/2009,Crown Castle NG,Installed,CITY,Manhattan,991477,223025,40.77882540000,-73.97390530000,A,Central Park West,W 76th St,W 77th St,Central Park,,Central Park,,,00083,164,6
6215,12/04/2008,Extenet II,Installed,CITY,Manhattan,995077,228430,40.79365700000,-73.96089800000,B,WEST DR,CPW 100 AP,CENTRAL PK DY,Central Park,,Central Park,,,00083,164,6
6214,12/04/2008,Extenet II,Installed,CITY,Manhattan,996023,226899,40.78945360000,-73.95748420000,B,EAST DR,Transverse Rd 4,E 97 St,Central Park,,Central Park,,,00083,164,6
6213,12/04/2008,Extenet II,Installed,CITY,Manhattan,990554,220383,40.77157450000,-73.97724050000,A,WEST DR,C P W 67 AP,C P 7 AV AP,Central Park,,Central Park,,,00083,164,6
6195,12/04/2008,Extenet II,Installed,CITY,Manhattan,990661,218772,40.76715260000,-73.97685570000,A,C P 6 AV AP,CENTER DR,CENTRAL PK S,Central Park,,Central Park,,,00083,164,6
6194,12/04/2008,Extenet II,Installed,CITY,Manhattan,991867,219618,40.76947370000,-73.97250100000,A,EAST DR,CENTER DR,TRANSVERSE RD 1,Central Park,,Central Park,,,00083,164,6
6193,12/04/2008,Extenet II,Installed,CITY,Manhattan,992382,221095,40.77352730000,-73.97064000000,A,Terrace Drive,East Drive,West Drive,Central Park,,Central Park,,,00083,164,6
5084,05/07/2008,Crown Castle NG,Installed,CITY,Manhattan,992754,225326,40.78513990000,-73.96929150000,A,Central Park West,W 86th St,W 85th St,Central Park,,Central Park,,,00083,164,6
5082,05/07/2008,Crown Castle NG,Installed,CITY,Manhattan,990197,220717,40.77249150000,-73.97852910000,A,Central Park West,W 66th St,W 67th St,Central Park,,Central Park,,,00083,164,6
2489,06/16/2005,Extenet II,Installed,CITY,Manhattan,993173,222912,40.77851370000,-73.96778170000,A,79th St Traverse,5th Avenue,Central Park West,Central Park,,Central Park,,,00083,164,6
2457,06/16/2005,Extenet II,Installed,CITY,Manhattan,993883,224800,40.78369500000,-73.96521540000,A,TRANSVERSE RD 3,CENTRAL PK W,5th Ave,Central Park,,Central Park,,,00083,164,6
2455,06/16/2005,Extenet II,Installed,CITY,Manhattan,997035,230061,40.79813100000,-73.95382350000,B,CP LENOX AP,EAST DR,CENTRAL PK N,Central Park,,Central Park,,,00083,164,6
2043,06/16/2005,Extenet II,Installed,CITY,Manhattan,992114,224172,40.78197300000,-73.97160390000,A,CENTRAL PK W,TRANSVERSE RD 2,W 82 St,Central Park,,Central Park,,,00083,164,6
2041,06/16/2005,Extenet II,Installed,CITY,Manhattan,990920,222025,40.77608110000,-73.97591750000,A,CENTRAL PK W,TERRACE DR,W 71 ST,,,Central Park,,,00083,164,6
21688,07/12/2019,ExteNet I,Proposed,CITY,Manhattan,997830,229839,40.79752050000,-73.95095260000,B,CENTRAL PARK N,5 AVE,LENOX AVE,,,Central Park,,,00083,164,6
21593,07/02/2019,Crown Castle NG,Proposed,CITY,Manhattan,991073,222010,40.77603980000,-73.97536510000,A,Terrace Drive,Central Park West,West Drive,Central Park,,Central Park,,,00083,164,6
21592,07/02/2019,Crown Castle NG,Proposed,CITY,Manhattan,992484,221054,40.77341460000,-73.97027170000,A,Terrace Drive,East Drive,West Drive,Central Park,,Central Park,,,00083,164,6
18115,12/22/2017,Crown Castle NG,Approved,CITY,Manhattan,990234,220092,40.77077600000,-73.97839610000,A,West Dr,Warner LeRoy Pl,Center Dr,Central Park,,Central Park,,,00083,164,6
17499,12/22/2017,Crown Castle NG,Proposed,CITY,Manhattan,989773,219965,40.77042770000,-73.98006050000,A,Central Park West,W 63rd St,W 62nd St,,,,,,00083,164,6
17497,12/22/2017,Crown Castle NG,Approved,CITY,Manhattan,990561,221381,40.77431370000,-73.97721430000,A,Central Park West,W 69th St,W 70th St,,,Central Park,,,00083,164,6
17496,12/22/2017,Crown Castle NG,Proposed,CITY,Manhattan,989456,219132,40.76814150000,-73.98120560000,A,Columbus Cir,Central Park S,Central Park West,Central Park,,Central Park,,,00083,164,6
16472,12/02/2017,Crown Castle Solutions,Approved,CITY,Manhattan,995018,229426,40.79639080000,-73.96110950000,B,Central Park West,W 104th St,W 103rd St,,,Central Park,,,00083,164,6
16131,12/02/2017,Crown Castle Solutions,Proposed,CITY,Manhattan,997034,227354,40.79070100000,-73.95383230000,B,5th Ave,E 101st St,E 98th St,,,Central Park,,,00083,164,6
16046,12/02/2017,Crown Castle Solutions,Approved,CITY,Manhattan,993236,221807,40.77548070000,-73.96755570000,A,East Dr,Terrace Dr,79th St Transverse,Central Park,,Central Park,,,00083,164,6
16038,12/02/2017,Crown Castle Solutions,Installed,CITY,Manhattan,991146,219596,40.76941390000,-73.97510400000,A,Center Dr,East Drive,West Drive,Central Park,,Central Park,,,00083,164,6
14400,11/08/2016,ExteNet I,Approved,CITY,Manhattan,995545,227129,40.79008550000,-73.95921000000,B,E 97 ST TRANVERSE,5 AVE,CENTRAL PARK WEST,Central Park,,Central Park,,,00083,164,6
14399,11/08/2016,ExteNet I,Installed,CITY,Manhattan,996160,226821,40.78923930000,-73.95698960000,B,E 97 ST TRANVERSE,5 AVE,CENTRAL PARK WEST,Central Park,,Central Park,,,00083,164,6
14327,11/08/2016,ExteNet I,Proposed,CITY,Manhattan,996539,227758,40.79181060000,-73.95561920000,B,EAST DR,E 102 ST,97 ST TRANS,Central Park,,Central Park,,,00083,164,6
14326,11/08/2016,ExteNet I,Approved,CITY,Manhattan,996760,228550,40.79398410000,-73.95481960000,B,EAST DR,102ND ST CUTOFF,97 ST TRANS,Central Park,,Central Park,,,00083,164,6
14325,11/08/2016,ExteNet I,Approved,CITY,Manhattan,996278,227385,40.79078720000,-73.95656240000,B,EAST DR,97 ST TRANS,102ND ST CUTOFF,Central Park,,Central Park,,,00083,164,6
14238,10/21/2016,ExteNet I,Approved,CITY,Manhattan,993743,226560,40.78852590000,-73.96571840000,A,WEST DRIVE,W90 ST,W96 ST,Central Park,,Central Park,,,00083,164,6
14237,10/21/2016,ExteNet I,Approved,CITY,Manhattan,994192,226855,40.78933510000,-73.96409650000,A,WEST DRIVE,W96 st,W90 ST,Central Park,,Central Park,,,00083,164,6
14146,10/21/2016,ExteNet I,Installed,CITY,Manhattan,996374,226409,40.78810820000,-73.95621750000,A,97 ST TRANSVERSE,5 AVE,EAST DRIVE,Central Park,,Central Park,,,00083,164,6
14142,10/21/2016,ExteNet I,Approved,CITY,Manhattan,995739,225141,40.78462870000,-73.95851280000,A,EAST SIDE DR,E 90 ST,E 91 ST,Central Park,,Central Park,,,00083,164,6
13146,09/09/2016,Crown Castle Fiber,Proposed,CITY,Manhattan,992465,223335,40.77967540000,-73.97033750000,A,79th St Transverse,West Dr,East Dr,Central Park,,Central Park,,,00083,164,6
13011,09/09/2016,Crown Castle Fiber,Installed,CITY,Manhattan,990766,220857,40.77287530000,-73.97647460000,A,West Dr,Warner Leroy Pl,Terrace Dr,Central Park,,Central Park,,,00083,164,6
13007,09/09/2016,Crown Castle Fiber,Installed,CITY,Manhattan,992689,220366,40.77152610000,-73.96953250000,A,East Dr,Terrace Dr,Center Drive,Central Park,,Central Park,,,00083,164,6
12937,09/09/2016,Crown Castle Fiber,Installed,CITY,Manhattan,990364,220471,40.77181620000,-73.97792640000,A,65th St Transverse,W Drive,Central Park W,Central Park,,Central Park,,,00083,164,6
12936,09/09/2016,Crown Castle Fiber,Proposed,CITY,Manhattan,994453,224083,40.78172640000,-73.96315820000,A,85th St Transverse,E Drive,W Drive,Central Park,,Central Park,,,00083,164,6
12671,09/09/2016,Crown Castle Fiber,Proposed,CITY,Manhattan,993440,225027,40.78431850000,-73.96681470000,A,85th St Transverse,West Dr,East Dr,Central Park,,Central Park,,,00083,164,6
12668,09/09/2016,Crown Castle Fiber,Proposed,CITY,Manhattan,991875,222943,40.77860000000,-73.97246830000,A,W Drice,W 77th,79th St Transverse,Central Park,,Central Park,,,00083,164,6
12667,09/09/2016,Crown Castle Fiber,Approved,CITY,Manhattan,992834,221434,40.77445730000,-73.96900760000,A,East Dr,Terrace Dr,79th St Transverse,Central Park,,Central Park,,,00083,164,6
12666,09/09/2016,Crown Castle Fiber,Approved,CITY,Manhattan,993155,221748,40.77531880000,-73.96784820000,A,East Dr,Terrace Dr,79th St Transverse,Central Park,,Central Park,,,00083,164,6
12665,09/09/2016,Crown Castle Fiber,Approved,CITY,Manhattan,993286,222175,40.77649070000,-73.96737470000,A,East Dr,79th St Transverse,Terrace Dr,Central Park,,Central Park,,,00083,164,6
12664,09/09/2016,Crown Castle Fiber,Approved,CITY,Manhattan,993400,222554,40.77753080000,-73.96696250000,A,East Dr,79th St Transverse,Terrace Dr,Central Park,,Central Park,,,00083,164,6
12663,09/09/2016,Crown Castle Fiber,Proposed,CITY,Manhattan,993815,223183,40.77925680000,-73.96546320000,A,East Dr,79th St Transverse,85th St Transverse,Central Park,,Central Park,,,00083,164,6
12662,09/09/2016,Crown Castle Fiber,Proposed,CITY,Manhattan,994080,223698,40.78067010000,-73.96450560000,A,East Dr,85th St Transverse,79th St Transverse,Central Park,,Central Park,,,00083,164,6
12661,09/09/2016,Crown Castle Fiber,Proposed,CITY,Manhattan,994150,224684,40.78337630000,-73.96425140000,A,85th St Transverse,East Dr,West Dr,Central Park,,Central Park,,,00083,164,6
12659,09/09/2016,Crown Castle Fiber,Proposed,CITY,Manhattan,991200,222521,40.77744230000,-73.97490600000,A,Central Park West,W 74th St,W 73rd St,Central Park,,Central Park,,,00083,164,6
11773,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,992120,219335,40.76869670000,-73.97158790000,A,65 St Transverse,East Dr,5 Ave,Central Park,,Central Park,,,00083,164,6
11771,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,992567,220336,40.77144380000,-73.96997300000,A,East Dr,Terrace Dr,Center Dr,Central Park,,Central Park,,,00083,164,6
11769,03/24/2016,Crown Castle Solutions,Proposed,CITY,Manhattan,991552,219572,40.76934770000,-73.97363830000,A,65 St Transverse,Center Dr,East Dr,Central Park,,Central Park,,,00083,164,6
11768,03/24/2016,Crown Castle Solutions,Proposed,CITY,Manhattan,990949,219995,40.77050920000,-73.97581480000,A,65 St Transverse,Center Dr,West Dr,Central Park,,Central Park,,,00083,164,6
11762,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,992772,221304,40.77410050000,-73.96923160000,A,East Dr,Terrace Dr,79 st Transverse,Central Park,,Central Park,,,00083,164,6
11761,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,993508,220991,40.77324070000,-73.96657470000,A,5 Ave,73 St,74 St,,,Central Park,,,00083,164,6
11760,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,993270,222097,40.77627660000,-73.96743250000,A,East Dr,5 ave,Central Park West,Central Park,,Central Park,,,00083,164,6
11758,03/24/2016,Crown Castle Solutions,Proposed,CITY,Manhattan,991407,222200,40.77656100000,-73.97415890000,A,West Dr,Terrace Dr,79 St Transverse,Central Park,,Central Park,,,00083,164,6
11757,03/24/2016,Crown Castle Solutions,Proposed,CITY,Manhattan,991759,222906,40.77849850000,-73.97288720000,A,W 77 St,Central Park West,5 ave,Central Park,,Central Park,,,00083,164,6
11755,03/24/2016,Crown Castle Solutions,Proposed,CITY,Manhattan,993822,222768,40.77811780000,-73.96543850000,A,79 St transverse,5 ave,Central Park West,Central Park,,Central Park,,,00083,164,6
11754,03/24/2016,Crown Castle Solutions,Proposed,CITY,Manhattan,993130,222999,40.77875250000,-73.96793680000,A,79 St transverse,5 ave,Central Park West,Central Park,,Central Park,,,00083,164,6
11753,03/24/2016,Crown Castle Solutions,Proposed,CITY,Manhattan,992298,223488,40.78009550000,-73.97094040000,A,West Dr,79 st Transverse,W 86 st,Central Park,,Central Park,,,00083,164,6
11752,03/24/2016,Crown Castle Solutions,Proposed,CITY,Manhattan,992701,224164,40.78195050000,-73.96948440000,A,West Dr,85 St Transverse,79 St Transverse,Central Park,,Central Park,,,00083,164,6
11750,03/24/2016,Crown Castle Solutions,Approved,CITY,Manhattan,993995,223513,40.78016240000,-73.96481280000,A,East Dr,85 St Transverse,79 St Transverse,Central Park,,Central Park,,,00083,164,6
11748,03/24/2016,Crown Castle Solutions,Proposed,CITY,Manhattan,994230,224623,40.78320880000,-73.96396260000,A,85 St Transverse,5th Ave,Central Park West,Central Park,,Central Park,,,00083,164,6
11747,03/24/2016,Crown Castle Solutions,Proposed,CITY,Manhattan,993225,224947,40.78409920000,-73.96759120000,A,West Dr,85 St Transverse,W 86 St,Central Park,,Central Park,,,00083,164,6
10303,09/26/2014,Crown Castle NG,Proposed,CITY,Manhattan,993273,221862,40.77563160000,-73.96742200000,A,East Dr,Ter Drive,79th Transverse,Central Park,,Central Park,,,00083,164,6
10299,09/26/2014,Crown Castle NG,Proposed,CITY,Manhattan,990990,219325,40.76867020000,-73.97566740000,A,Center Drive,West Dr,East Dr,Central Park,,Central Park,,,00083,164,6
10234,09/26/2014,Crown Castle NG,Proposed,CITY,Manhattan,996133,226348,40.78794110000,-73.95708790000,A,East Dr,97th Street Transverse,E 90th St,Central Park,,Central Park,,,00083,164,6
10231,01/30/2015,Crown Castle NG,Proposed,CITY,Manhattan,996112,226734,40.78900060000,-73.95716310000,B,East Dr,97th Street Transverse,E 90th St,Central Park,,Central Park,,,00083,164,6
8879,06/21/2012,Crown Castle NG,Installed,CITY,Manhattan,993648,223020,40.77880960000,-73.96606640000,A,East Drive,79th St Transverse,86th St Transverse,Central Park,,Central Park,,,00083,164,6
