Id,Reservation Date,Franchisee Name ,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Park Advisory,Historic Landmark Advisory,Scenic Landmark Advisory,BID Advisory,School Advisory,Construction Completed? (Y/N),Zipcode,Community Board,Council District
17638,12/29/2017,Extenet II,CITY,Brooklyn,989062,160733,40.6078500,-73.9826700,B,Ave P,W 9th St,W 10th St,,,,,,N,11204,311,44
16823,01/08/2018,Mobilitie II,CITY,Brooklyn,991172,162849,40.6136570,-73.9750680,B,Dahill Road,61st Street,24th Avenue,,,,,,Y,11204,311,44
16747,01/08/2018,Mobilitie II,CITY,Brooklyn,990161,162641,40.6130860,-73.9787100,B,23rd Avenue,64th Street,65th Street,,,,,,Y,11204,311,44
15397,11/22/2017,Mobilitie I,CITY,Brooklyn,989703,161765,40.6106820,-73.9803600,B,Avenue O,W 6th Street,W 7th Street,,,,,,Y,11204,311,44
15901,11/16/2017,Extenet II,UTILITY,Brooklyn,988571,160579,40.6074280,-73.9844380,B,W 11th St,Ave P,Kings Hwy,,,,,,Y,11223,311,44
15392,11/22/2017,Mobilitie I,CITY,Brooklyn,989936,160789,40.6080030,-73.9795220,B,Avenue P,W 6th Street,W 5th Street,,,,,,N,11223,311,44
15349,11/22/2017,Mobilitie I,CITY,Brooklyn,988461,159838,40.6053940,-73.9848350,B,Quentin Road,W 12th Street,W 11th Street,,,,,,Y,11223,311,44
14273,10/28/2016,Mobilitie I,UTILITY,Brooklyn,987829,160458,40.6070960,-73.9871110,B,Stillwell Av,Avenue P,Kings Hwy,,,,,LUCRETIA MARCIGLIANO CAMPUS,Y,11223,311,44
16761,01/08/2018,Mobilitie II,CITY,Brooklyn,990243,169616,40.6322310,-73.9784090,B,Dahill Road,43rd Street,44th Street,,,,,,Y,11218,312,44
20792,01/28/2019,ZenFi,UTILITY,Brooklyn,984417,169605,40.6322030,-73.9993980,B,57 St,12 Av,11 Av,,,,,,Y,11219,312,44
20739,01/17/2019,ZenFi,UTILITY,Brooklyn,985292,169577,40.6321260,-73.9962460,B,55th St,13th Av,12th Av,,,,,,N,11219,312,44
18518,01/18/2018,ExteNet I,CITY,Brooklyn,986321,170442,40.6345000,-73.9925380,B,13th Ave,50th St,49th St,,,,,,Y,11219,312,44
18515,01/18/2018,ExteNet I,CITY,Brooklyn,987621,169659,40.6323510,-73.9878550,B,15th Ave,49th St,Rabbi Weissmandl Way,,,,,,Y,11219,312,44
18514,01/18/2018,ExteNet I,CITY,Brooklyn,987173,170350,40.6342470,-73.9894690,B,14th Ave,48th St,49th St,,,,,,Y,11219,312,44
17918,12/29/2017,Extenet II,CITY,Brooklyn,985539,170985,40.6359910,-73.9953560,B,50th St,12th Ave,11th Ave,,,,,,Y,11219,312,44
17655,12/29/2017,Extenet II,CITY,Brooklyn,986961,171258,40.6367400,-73.9902320,B,13th Ave,46th St,45th St,,,,,,Y,11219,312,44
16882,01/08/2018,Mobilitie II,CITY,Brooklyn,985830,169828,40.6328150,-73.9943080,B,13th Avenue,53rd Street,52nd Street,,,,,,N,11219,312,44
16835,01/08/2018,Mobilitie II,CITY,Brooklyn,985915,167428,40.6262270,-73.9940020,B,15th Avenue,60th Street,59th Street,,,,,,N,11219,312,44
16833,01/08/2018,Mobilitie II,CITY,Brooklyn,984857,168601,40.6294470,-73.9978130,B,13th Avenue,59th Street,58th Street,,,,,,Y,11219,312,44
16782,01/08/2018,Mobilitie II,CITY,Brooklyn,985547,170373,40.6343110,-73.9953270,B,52nd Street,New Utrecht Avenue,12th Avenue,,,,,,Y,11219,312,44
16759,01/08/2018,Mobilitie II,CITY,Brooklyn,986778,167339,40.6259830,-73.9908930,B,16th Avenue,58th Street,59th Street,,,,,,N,11219,312,44
15630,01/08/2018,Mobilitie II,CITY,Brooklyn,986442,166917,40.6248250,-73.9921040,B,16th Avenue,60th Street,61st Street,,,,,,Y,11219,312,44
14463,12/29/2016,Mobilitie I,UTILITY,Brooklyn,986477,171895,40.6384880,-73.9919760,B,12th Ave,45th St,46th St,,,,,,Y,11219,312,44
14034,10/24/2016,Mobilitie II,CITY,Brooklyn,985661,172207,40.6393450,-73.9949160,B,11th Ave,46th St,47th St,,,,,,Y,11219,312,44
14011,10/24/2016,Mobilitie II,CITY,Brooklyn,988164,169091,40.6307910,-73.9858990,B,16th Ave,50th St,49th St,,,,,,Y,11219,312,44
13948,10/24/2016,Mobilitie II,CITY,Brooklyn,986364,169328,40.6314420,-73.9923840,B,14th Ave,53rd St,54th St,,,,,,Y,11219,312,44
16825,01/08/2018,Mobilitie II,CITY,Brooklyn,993341,163321,40.6149500,-73.9672550,B,E 7th Street,Roder Avenue,Avenue M,,,,,,N,11230,312,44
16749,01/08/2018,Mobilitie II,CITY,Brooklyn,994379,163442,40.6152810,-73.9635170,B,Coney Island Avenue,Avenue N,Roder Avenue,,,,,,N,11230,312,44
16748,01/08/2018,Mobilitie II,CITY,Brooklyn,993797,162360,40.6123120,-73.9656140,B,Avenue O,E 8th Street,E 9th Street,,,,,,Y,11230,312,44
15319,11/22/2017,Mobilitie I,CITY,Brooklyn,991204,167368,40.6260600,-73.9749480,B,Avenue I,E 2nd Street,E 3rd Street,,,,,,Y,11230,312,44
13952,10/24/2016,Mobilitie II,CITY,Brooklyn,989886,168603,40.6294510,-73.9796960,B,18th Ave,47th St,46th St,,,,,,Y,11230,312,44
17639,12/29/2017,Extenet II,CITY,Brooklyn,990208,164015,40.6168580,-73.9785390,B,60th St,Bay Pkwy,21st Ave,,,,,,N,11204,312,44
16830,01/08/2018,Mobilitie II,CITY,Brooklyn,989654,164467,40.6180990,-73.9805350,B,21st Avenue,60th Street,59th Street,,,,,,Y,11204,312,44
16829,01/08/2018,Mobilitie II,CITY,Brooklyn,988431,165433,40.6207510,-73.9849390,B,19th Avenue,60th Street,59th Street,,,,,,Y,11204,312,44
16753,01/08/2018,Mobilitie II,CITY,Brooklyn,988991,164977,40.6194990,-73.9829220,B,60th Street,20th Avenue,19th Avenue,,,,,,Y,11204,312,44
15364,11/22/2017,Mobilitie I,CITY,Brooklyn,987500,168168,40.6282580,-73.9882920,B,16th Avenue,54th Street,53rd Street,,,,,,Y,11204,312,44
15322,11/22/2017,Mobilitie I,CITY,Brooklyn,990425,168028,40.6278720,-73.9777540,B,19th Avenue,Dahill Road,48th Street,,,,,,Y,11204,312,44
13951,10/24/2016,Mobilitie II,CITY,Brooklyn,988426,168021,40.6278540,-73.9849560,B,17th Ave,52nd St,53rd St,,,,,,Y,11204,312,44
13880,10/24/2016,Mobilitie II,CITY,Brooklyn,987537,166804,40.6245140,-73.9881590,B,17th Ave,58th St,57th St,,,,,,Y,11204,312,44
18660,01/26/2018,ZenFi,CITY,Brooklyn,993467,159921,40.6056180,-73.9668060,B,Ocean Parkway,Kings Highway,Avenue R,Ocean Parkway Malls,,Ocean Parkway,,,Y,11223,315,44
18642,01/26/2018,ZenFi,CITY,Brooklyn,994795,160497,40.6071970,-73.9620230,B,Coney Island Avenue,Kings Highway,Avenue R,,,,Kings Highway BID,,Y,11223,315,44
17917,12/29/2017,Extenet II,CITY,Brooklyn,991862,170076,40.6334930,-73.9725750,B,Ocean Pkwy,Ave F,18th Ave,,,,,,Y,11218,314,44
17627,12/29/2017,Extenet II,CITY,Brooklyn,991158,169466,40.6318190,-73.9751120,B,18th Ave,E 3rd St,E 4th St,,,,,,Y,11218,314,44
20915,03/06/2019,Extenet II,UTILITY,Brooklyn,995223,166958,40.6249310,-73.9604710,B,E 16th St,Ave J,Ave K,,,,,,N,11230,314,44
18440,01/18/2018,ExteNet I,CITY,Brooklyn,995186,167219,40.6256470,-73.9606040,B,E 16th St,Avenue J,Avenue I,,,,,,Y,11230,314,44
17631,12/29/2017,Extenet II,CITY,Brooklyn,993953,166937,40.6248750,-73.9650460,B,Coney Island Ave,Ave J,Ave I,,,,,,N,11230,314,44
16762,01/08/2018,Mobilitie II,CITY,Brooklyn,994230,166916,40.6248170,-73.9640480,B,Avenue J,E 12th Street,E 13th Street,,,,,,Y,11230,314,44
16760,01/08/2018,Mobilitie II,CITY,Brooklyn,991271,168220,40.6283990,-73.9747060,B,Foster Avenue,E 3rd Street,Seton Place,,,,,,Y,11230,314,44
16756,01/08/2018,Mobilitie II,CITY,Brooklyn,995118,166205,40.6228640,-73.9608500,B,Avenue K,E 15th Street,E 16th Street,,,,,,Y,11230,314,44
16754,01/08/2018,Mobilitie II,CITY,Brooklyn,995189,165328,40.6204570,-73.9605960,B,Avenue L,E 15th Street,E 14th Street,,,,,,Y,11230,314,44
15550,11/22/2017,Mobilitie I,CITY,Brooklyn,995829,164951,40.6194210,-73.9582910,B,E 17th Street,Bay Avenue,Chestnut Avenue,,,,,,Y,11230,314,44
17910,12/22/2017,Crown Castle Fiber,CITY,Brooklyn,1003694,181157,40.6638900,-73.9299140,B,E New York Ave,E 92nd St,E 91st St,,,,,,N,11212,317,41
17604,12/29/2017,Extenet II,CITY,Brooklyn,1005173,181106,40.6637460,-73.9245830,B,Rutland Rd,E 96th St,E 95th St,,,,,,N,11212,317,41
17571,12/22/2017,Crown Castle Fiber,CITY,Brooklyn,1006905,179503,40.6593420,-73.9183460,B,Rockaway Pkwy,Lenox Rd,Willmohr St,,,,,,N,11212,317,41
17455,12/12/2017,Crown Castle NG,CITY,Brooklyn,1005683,180519,40.6621340,-73.9227470,B,Winthrop St,E 96th St,E 95th St,,,,,,N,11212,317,41
17115,12/12/2017,Crown Castle NG,CITY,Brooklyn,1005166,179502,40.6593430,-73.9246130,B,E 92nd St,Clarkson Ave,Winthrop St,,,,,,N,11212,317,41
16999,12/02/2017,Crown Castle Solutions,CITY,Brooklyn,1003858,180582,40.6623110,-73.9293250,B,E 91st St,Rutland Rd,E New York Ave,,,,,,N,11212,317,41
16997,12/02/2017,Crown Castle Solutions,CITY,Brooklyn,1004539,180178,40.6612000,-73.9268710,B,E 92nd St,Rutland Rd,Winthrop St,,,,,,N,11212,317,41
16996,12/02/2017,Crown Castle Solutions,CITY,Brooklyn,1006358,180154,40.6611300,-73.9203150,B,Rockaway Pkwy,Clarkson Ave,Winthrop St,,,,,,N,11212,317,41
15697,11/13/2017,Crown Castle NG,UTILITY,Brooklyn,1006384,178815,40.6574550,-73.9202260,B,E 94th St,Kings Hwy,Willmohr St,,,,,,N,11212,317,41
14440,12/29/2016,Mobilitie I,UTILITY,Brooklyn,1006208,178674,40.6570680,-73.9208610,B,E 93rd St,Kings Hwy,Wilmohr St,,,,,,Y,11212,317,41
14041,10/24/2016,Mobilitie II,CITY,Brooklyn,1005187,181189,40.6639740,-73.9245320,B,Rutland Rd,E 96th St,Rockaway Parkway,,,,,,Y,11212,317,41
13893,10/24/2016,Mobilitie II,CITY,Brooklyn,1006462,179196,40.6585000,-73.9199430,B,Lenox Rd,E 95th St,E 96th St,,,,,,Y,11212,317,41
13892,10/24/2016,Mobilitie II,CITY,Brooklyn,1005447,180388,40.6617750,-73.9235980,B,Winthrop St,E 95th St,E 96th St,,,,,,Y,11212,317,41
23694,03/19/2020,Crown Castle Fiber,UTILITY,Brooklyn,1002975,178435,40.6564200,-73.9325130,B,Clarkson Ave,E 48th St,E 49th St,,,,,,N,11203,317,41
18139,12/29/2017,Crown Castle NG,UTILITY,Brooklyn,1004074,176858,40.6520890,-73.9285570,B,Church Ave,E 52nd St,E 151st St,,,,,,N,11203,317,41
16911,01/08/2018,Mobilitie II,CITY,Brooklyn,1005588,178090,40.6554670,-73.9230970,B,Remsen Avenue,E 58th Street,Lenox Road,,,,,,Y,11203,317,41
16857,01/08/2018,Mobilitie II,CITY,Brooklyn,1003937,179190,40.6584900,-73.9290440,B,Winthrop Street,E 52nd Street,E 53rd Street,,,,,WINTHROP CAMPUS,Y,11203,317,41
16787,01/08/2018,Mobilitie II,CITY,Brooklyn,1004975,176276,40.6504890,-73.9253120,B,Snyder Avenue,E 55th Street,E 56th Street,,,,,,Y,11203,317,41
16645,11/28/2017,Extenet II,UTILITY,Brooklyn,1004398,176918,40.6522530,-73.9273890,B,Church Ave,East 53rd St,East 54th St,,,,,,N,11203,317,41
16638,11/28/2017,Extenet II,UTILITY,Brooklyn,1000999,178257,40.6559350,-73.9396350,B,Albany Ave,Clarkson Ave,Lenox Rd,,,,,,N,11203,317,41
16621,11/28/2017,Crown Castle NG,UTILITY,Brooklyn,1001676,177364,40.6534830,-73.9371980,B,Linden Blvd,E 43rd St,Troy Ave,,,,,,N,11203,317,41
15902,11/16/2017,Extenet II,UTILITY,Brooklyn,1002058,178359,40.6562130,-73.9358180,B,Clarkson Ave,E 45th St,Troy Ave,,,,,,Y,11203,317,41
15695,11/13/2017,Crown Castle NG,UTILITY,Brooklyn,1003448,178599,40.6568690,-73.9308080,B,Utica Ave,Clarkson Ave,Winthrop St,,,,,,N,11203,317,41
15694,11/13/2017,Crown Castle NG,UTILITY,Brooklyn,1004546,177776,40.6546070,-73.9268530,B,E 54th St,Linden Blvd,Lenox Rd,,,,,,N,11203,317,41
15688,11/13/2017,Crown Castle NG,UTILITY,Brooklyn,1002942,177966,40.6551330,-73.9326330,B,E 48th St,Lenox Rd,Linden Blvd,,,,,,N,11203,317,41
15687,11/13/2017,Crown Castle NG,UTILITY,Brooklyn,1003038,176787,40.6518960,-73.9322910,B,E 48th St,Church Ave,Linden Blvd,,,,,,Y,11203,317,41
15686,11/13/2017,Crown Castle NG,UTILITY,Brooklyn,1001981,176680,40.6516050,-73.9361000,B,Troy Ave,Church Ave,Linden Blvd,,,,,,N,11203,317,41
15685,11/13/2017,Crown Castle NG,UTILITY,Brooklyn,1001409,176641,40.6514990,-73.9381620,B,E 42nd St,Church Ave,Linden Blvd,,,,,,N,11203,317,41
14731,05/10/2017,Mobilitie II,CITY,Brooklyn,1004471,179236,40.6586150,-73.9271190,B,Winthrop Street,E 54 Street,Remsen Avenue,,,,,,Y,11203,317,41
13889,10/24/2016,Mobilitie II,CITY,Brooklyn,1003418,178079,40.6554420,-73.9309180,B,Utica Ave,Lennox Ave,Clarkson Ave,,,,,,Y,11203,317,41
13544,09/28/2016,Mobilitie I,UTILITY,Brooklyn,1002734,177307,40.6533240,-73.9333850,B,Schenectady Ave,Linden Blvd,Church Ave,,,,,PS 135,Y,11203,317,41
18148,12/29/2017,Crown Castle NG,UTILITY,Brooklyn,1008747,181666,40.6652740,-73.9116990,C,Blake Ave,Bristol St,Thomas S Boyland St,"Betsy Head Park,",,,,,N,11212,316,41
16982,01/20/2018,Mobilitie II,CITY,Brooklyn,1009577,181827,40.6657140,-73.9087060,C,Blake Avenue,Rockaway Avenue,Mother Gaston Boulevard,,,,,,Y,11212,316,41
16981,01/20/2018,Mobilitie II,CITY,Brooklyn,1006872,181927,40.6659950,-73.9184560,C,Sutter Avenue,Grafton Street,Legion Street,,,,,,Y,11212,316,41
16958,01/20/2018,Mobilitie II,CITY,Brooklyn,1011296,181064,40.6636140,-73.9025130,C,Powell Street,Livonia Avenue,Dumont Avenue,,,,,,Y,11212,316,41
16955,01/20/2018,Mobilitie II,CITY,Brooklyn,1007912,182130,40.6665500,-73.9147070,C,Sutter Avenue,Herzl Street,Amboy Street,,,,,,Y,11212,316,41
16866,12/11/2017,Crown Castle Solutions,CITY,Brooklyn,1008273,183106,40.6692280,-73.9134020,C,Pitkin Ave,Thomas S Boyland St,Bristol St,,,,Pitkin Avenue BID,,N,11212,316,41
16860,12/11/2017,Crown Castle Solutions,CITY,Brooklyn,1006341,181821,40.6657060,-73.9203710,C,Sutter Ave,Tapscott St,Howard Ave,,,,,,N,11212,316,41
16856,12/11/2017,Crown Castle Solutions,CITY,Brooklyn,1009119,181200,40.6639940,-73.9103590,C,Dumont Ave,Chester St,Bristol St,,,,,,N,11212,316,41
15936,12/21/2017,Crown Castle NG,CITY,Brooklyn,1006141,181201,40.6640040,-73.9210940,C,Blake Ave,Union St,Sutter Ave,,,,,,N,11212,316,41
15719,11/13/2017,Crown Castle NG,UTILITY,Brooklyn,1008857,182315,40.6670550,-73.9113000,C,Sutter Ave,Chester St,Bristol St,,,,,,N,11212,316,41
14376,11/05/2016,Mobilitie II,CITY,Brooklyn,1009843,182939,40.6687650,-73.9077430,C,Belmont Ave,Watkins St,Osborn St,,,,,,Y,11212,316,41
14039,11/05/2016,Mobilitie II,CITY,Brooklyn,1010517,182642,40.6679480,-73.9053150,C,Sutter Ave,Christopher Ave,Sackman St,,,,,,Y,11212,316,41
14027,11/05/2016,Mobilitie II,CITY,Brooklyn,1009250,183292,40.6697360,-73.9098800,C,Pitkin Ave,Thatford Ave,Rockaway Ave,,,,Pitkin Avenue BID,,Y,11212,316,41
13930,11/05/2016,Mobilitie II,CITY,Brooklyn,1009446,181206,40.6640090,-73.9091810,C,Rockaway Ave,Dumont Ave,Livonia Ave,,,,,,Y,11212,316,41
13918,11/05/2016,Mobilitie II,CITY,Brooklyn,1005672,181691,40.6653510,-73.9227830,C,Sutter Ave,E 98th St,Ralph Ave,,,,,,Y,11212,316,41
16956,01/20/2018,Mobilitie II,CITY,Brooklyn,1007288,184271,40.6724280,-73.9169490,C,Saratoga Avenue,Prospect Place,Park Place,,,,,,Y,11233,316,41
16917,01/20/2018,Mobilitie II,CITY,Brooklyn,1008070,187577,40.6815000,-73.9141180,C,Thomas S Boyland Street,Marion Street,Chauncey Street,Marion Hopkinson Playground,,,,,Y,11233,316,41
16640,12/01/2017,ExteNet I,CITY,Brooklyn,1007644,189095,40.6856680,-73.9156490,C,Halsey St,Broadway,Saratoga Ave,,,,,,N,11233,316,41
15646,12/01/2017,ExteNet I,CITY,Brooklyn,1008913,185650,40.6762090,-73.9110860,C,Atlantic Ave,Rockaway Ave,Pacific St,,,,,,Y,11233,316,41
15645,12/01/2017,ExteNet I,CITY,Brooklyn,1006543,183994,40.6716700,-73.9196350,C,Howard Ave,Park Pl,Sterling Pl,,,,,,Y,11233,316,41
15621,12/01/2017,ExteNet I,CITY,Brooklyn,1008114,184143,40.6720750,-73.9139720,C,Eastern Pkwy,Thomas S Boyland St,Prospect Pl,,,,,,Y,11233,316,41
13971,11/05/2016,Mobilitie II,CITY,Brooklyn,1007063,189276,40.6861660,-73.9177430,C,Saratoga Ave,Hancock St,Halsey St,,,,,,Y,11233,316,41
17506,12/22/2017,Crown Castle Fiber,CITY,Brooklyn,1003803,181917,40.6659750,-73.9295190,B,Carroll St,Ford St,Utica Ave,,,,,,N,11213,309,41
17136,12/12/2017,Crown Castle NG,CITY,Brooklyn,1004057,182205,40.6667650,-73.9286030,B,Rochester Ave,President St,Carroll St,,,,,,N,11213,309,41
15671,01/08/2018,Mobilitie II,CITY,Brooklyn,1003888,181580,40.6650500,-73.9292140,B,Crown Street,Ford Street,Rochester Avenue,,,,,,Y,11213,309,41
18143,12/29/2017,Crown Castle NG,UTILITY,Brooklyn,1003310,179092,40.6582220,-73.9313040,B,Winthrop St,Utica Ave,E 49th St,,,,,,N,11203,309,41
15903,11/16/2017,Extenet II,UTILITY,Brooklyn,1000910,180142,40.6611090,-73.9399520,B,Albany Ave,Maple St,Midwood St,,,,,,Y,11203,309,41
15699,11/13/2017,Crown Castle NG,UTILITY,Brooklyn,1003177,180498,40.6620820,-73.9317800,B,Maple St,Utica Ave,E 48th St,,,,,,N,11203,309,41
15691,11/13/2017,Crown Castle NG,UTILITY,Brooklyn,1002460,179907,40.6604610,-73.9343650,B,Rutland Rd,Schenectady Ave,E 46th St,,,,,,N,11203,309,41
13962,10/24/2016,Mobilitie II,CITY,Brooklyn,1003233,180200,40.6612640,-73.9315790,B,Midwood St,Utica Ave,E 48th St,,,,,,Y,11203,309,41
18057,12/29/2017,Extenet II,CITY,Brooklyn,1004856,182876,40.6686050,-73.9257200,B,Eastern Pkwy,Buffalo Ave,Rochester Ave,Eastern Parkway,,Eastern Parkway,,,N,11213,308,41
18503,01/18/2018,ExteNet I,CITY,Brooklyn,1005010,184110,40.6719920,-73.9251620,B,Buffalo Ave,Park Pl,Sterling Pl,,,,,,Y,11233,308,41
18501,01/18/2018,ExteNet I,CITY,Brooklyn,1004940,183152,40.6693620,-73.9254170,B,Buffalo Ave,Lincoln Pl,Eastern Pkwy,,,,,,Y,11233,308,41
17586,12/29/2017,Extenet II,CITY,Brooklyn,1005722,183400,40.6700410,-73.9225970,B,St Johns Pl,Ralph Ave,Buffalo Ave,,,,,,N,11233,308,41
14018,10/24/2016,Mobilitie II,CITY,Brooklyn,1005825,184702,40.6736150,-73.9222220,B,Ralph Ave,St. Marks,Prospect Pl,,,,,,Y,11233,308,41
13968,10/24/2016,Mobilitie II,CITY,Brooklyn,1005886,185591,40.6760550,-73.9219990,B,Ralph Ave,Pacific St,Dean St,,,,,,Y,11233,308,41
13967,10/24/2016,Mobilitie II,CITY,Brooklyn,1005778,184045,40.6718110,-73.9223930,B,Ralph Ave,Park Pl,Sterling Pl,,,,,,Y,11233,308,41
17912,12/31/2017,Crown Castle Fiber,CITY,Brooklyn,1005429,189908,40.6879050,-73.9236330,B,Ralph Ave,Madison St,Monroe St,,,,,,N,11221,303,41
16933,01/20/2018,Mobilitie II,CITY,Brooklyn,1004358,190840,40.6904660,-73.9274920,B,Patchen Avenue,Lexington Avenue,Greene Avenue,,,,,,Y,11221,303,41
14695,04/27/2017,Mobilitie I,CITY,Brooklyn,1005519,189317,40.6862830,-73.9233100,B,Ralph Avenue,Jefferson Avenue,Hancock St,,,,,,Y,11221,303,41
14694,04/27/2017,Mobilitie I,CITY,Brooklyn,1005317,190649,40.6899390,-73.9240340,B,Ralph Avenue,Quincy Avenue,Gates Ave,,,,,,Y,11221,303,41
14055,11/05/2016,Mobilitie II,CITY,Brooklyn,1005400,190122,40.6884920,-73.9237370,B,Ralph Ave,Monroe St,Madison St,,,,,,Y,11221,303,41
20742,01/17/2019,ZenFi,UTILITY,Brooklyn,1005179,186525,40.6786200,-73.9245450,B,Buffalo Av,Fulton St,Herkimer St,,,,,,N,11233,303,41
17868,12/31/2017,Crown Castle Fiber,CITY,Brooklyn,1004772,188109,40.6829690,-73.9260070,B,Patchen Ave,MacDonough St,Decatur St,,,,,,N,11233,303,41
17836,12/31/2017,Crown Castle Fiber,CITY,Brooklyn,1005945,186594,40.6788080,-73.9217830,B,Fulton St,Ralph Ave,Buffalo Ave,,,,,,N,11233,303,41
16961,01/20/2018,Mobilitie II,CITY,Brooklyn,1007212,187995,40.6826500,-73.9172100,B,Saratoga Avenue,Bainbridge Street,Decatur Street,,,,,,Y,11233,303,41
15970,12/21/2017,Crown Castle NG,CITY,Brooklyn,1007168,188264,40.6833880,-73.9173680,B,Saratoga Ave,Decatur St,Mac Donough St,,,,,,N,11233,303,41
15651,12/01/2017,ExteNet I,CITY,Brooklyn,1004925,187217,40.6805200,-73.9254580,B,Patchen Ave,Bainbridge St,Fulton Ave,,,,,,Y,11233,303,41
14684,04/27/2017,Mobilitie I,CITY,Brooklyn,1005843,187178,40.6804110,-73.9221490,B,Ralph Avenue,Marion Street,Sumpter St,,,,,PS 40 GEORGE W CARVER,Y,11233,303,41
15471,11/22/2017,Mobilitie I,CITY,Brooklyn,1009723,183872,40.6713260,-73.9081720,C,Glenmore Avenue,Watkins Street,Mother Gaston Boulevard,,,,,BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,Y,11212,316,37
17012,12/11/2017,Crown Castle Solutions,CITY,Brooklyn,1009349,186906,40.6796550,-73.9095090,C,Hull St,Mother Gaston Blvd,Rockaway Ave,,,,,,N,11233,316,37
16637,12/01/2017,ExteNet I,CITY,Brooklyn,1009015,186096,40.6774330,-73.9107160,C,Rockaway Ave,Herkimer St,Atlantic Ave,,,,,,N,11233,316,37
15667,12/01/2017,ExteNet I,CITY,Brooklyn,1008898,187097,40.6801800,-73.9111350,C,Rockaway Ave,MacDougal St,Hull St,,,,,,Y,11233,316,37
14025,11/05/2016,Mobilitie II,CITY,Brooklyn,1009790,185705,40.6763570,-73.9079240,C,Eastern Parkway Extension,Atlantic Ave,Herkimer St,,,,,,Y,11233,316,37
13975,11/05/2016,Mobilitie II,CITY,Brooklyn,1009701,186467,40.6784490,-73.9082420,C,Mother Gastin Blvd,Truxton St,Somer St,,,,,,Y,11233,316,37
20842,02/01/2019,ZenFi,UTILITY,Brooklyn,1018574,185104,40.6746780,-73.8762590,B,Logan St,Pitkin Av,Belmont Ave,,,,,,N,11208,305,37
20795,01/30/2019,Crown Castle NG,UTILITY,Brooklyn,1016989,186507,40.6785350,-73.8819660,B,Shepherd Ave,Atlantic Ave,Liberty Ave,,,,,,N,11208,305,37
20752,01/17/2019,ZenFi,UTILITY,Brooklyn,1017113,185319,40.6752740,-73.8815250,B,Glenmore Av,Shepherd Av,Essex St,,,,,,N,11208,305,37
20751,01/17/2019,ZenFi,UTILITY,Brooklyn,1018821,188154,40.6830480,-73.8753530,B,Chestnut St,Fulton St,Ridgewood Av,,,,,,N,11208,305,37
20750,01/17/2019,ZenFi,UTILITY,Brooklyn,1018644,186393,40.6782160,-73.8760000,B,Fountain Av,Wells St,Liberty Ave,,,,,,N,11208,305,37
20749,01/17/2019,ZenFi,UTILITY,Brooklyn,1017326,186107,40.6774360,-73.8807530,B,Berrman St,Liberty Av,Atlantic Av,,,,,,N,11208,305,37
20746,01/17/2019,ZenFi,UTILITY,Brooklyn,1019730,188361,40.6836130,-73.8720740,B,Crescent St,Fulton St,Atlantic Av,,,,,,Y,11208,305,37
20743,01/17/2019,ZenFi,UTILITY,Brooklyn,1020118,186501,40.6785060,-73.8706850,B,Crescent St,Liberty Av,Hill St,,,,,,Y,11208,305,37
20354,08/29/2018,Mobilitie I,UTILITY,Brooklyn,1022390,186252,40.6778130,-73.8624960,B,Glenmore Ave,Drew St,Ruby St,,,,,,Y,11208,305,37
18151,12/29/2017,Crown Castle NG,UTILITY,Brooklyn,1016246,188234,40.6832780,-73.8846370,B,Linwood St,Ridgewood Ave,Jamaica Ave,,,,,,N,11208,305,37
18147,12/29/2017,Crown Castle NG,UTILITY,Brooklyn,1016370,185178,40.6748890,-73.8842040,B,Glenmore Ave,Cleveland St,Elton St,,,,,,N,11208,305,37
16954,01/20/2018,Mobilitie II,CITY,Brooklyn,1019985,189795,40.6875480,-73.8711480,B,Autumn Avenue,Etna Street,Jamaica Avenue,,,,,,N,11208,305,37
16952,01/20/2018,Mobilitie II,CITY,Brooklyn,1020400,187489,40.6812170,-73.8696630,B,Autumn Avenue,Glen Street,Atlantic Avenue,,,,,,Y,11208,305,37
16918,01/20/2018,Mobilitie II,CITY,Brooklyn,1018463,187072,40.6800800,-73.8766490,B,S Conduit Avenue,Fountain Avenue,Logan Street,,,,,,Y,11208,305,37
15735,11/14/2017,Crown Castle NG,UTILITY,Brooklyn,1019887,190522,40.6895440,-73.8714970,B,Autumn Ave,Jamaica Ave,Etna St,,,,,,Y,11208,305,37
15733,11/14/2017,Crown Castle NG,UTILITY,Brooklyn,1019480,189617,40.6870610,-73.8729690,B,Etna St,Crescent St,Hemlock St,,,,,,Y,11208,305,37
15732,11/14/2017,Crown Castle NG,UTILITY,Brooklyn,1020820,189533,40.6868250,-73.8681380,B,O'Brien Pl,Grant Ave,Nichols Ave,,,,,,N,11208,305,37
15729,11/14/2017,Crown Castle NG,UTILITY,Brooklyn,1017297,186980,40.6798320,-73.8808540,B,Highland Pl,Atlantic Ave,Fulton St,,,,,,N,11208,305,37
15725,11/14/2017,Crown Castle NG,UTILITY,Brooklyn,1021763,185776,40.6765090,-73.8647590,B,Pitkin Ave,Eldert Ln,Grant Ave,,,,,,N,11208,305,37
14706,04/27/2017,Mobilitie I,CITY,Queens,1022202,186698,40.6790380,-73.8631710,B,Liberty Avenue,Drew Street,Ruby St,,,,,,Y,11208,305,37
