Id,Reservation Date,Franchisee Name ,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Park Advisory,Historic Landmark Advisory,Scenic Landmark Advisory,BID Advisory,School Advisory,Construction Completed? (Y/N),Zipcode,Community Board,Council District
12531,08/10/2016,Mobilitie I,CITY,Brooklyn,977009,170936,40.6358530,-74.0260890,B,3rd Ave,Bayridge Ave,68th St,,,,,,Y,11220,310,43
11376,03/09/2016,Mobilitie I,CITY,Brooklyn,977869,170858,40.6356400,-74.0229910,B,4th Ave,68th St,Senator St,,,,,,Y,11220,310,43
12530,08/10/2016,Mobilitie I,CITY,Brooklyn,974982,164459,40.6180740,-74.0333840,B,3rd Ave,94th St,93rd St,,,,,,Y,11209,310,43
12360,08/10/2016,Mobilitie I,CITY,Brooklyn,977107,163665,40.6158960,-74.0257280,B,Dahlgren Pl,92nd St,Ft Hill Pl,,,,,,Y,11209,310,43
12223,08/10/2016,Mobilitie I,CITY,Brooklyn,975837,162940,40.6139050,-74.0303020,B,Fort Hamilton Pkwy,97th St,Marine Ave,,,,,,Y,11209,310,43
11375,03/09/2016,Mobilitie I,CITY,Brooklyn,975248,171040,40.6361370,-74.0324340,B,Mackay Pl,Louise Terrace,Colonial Rd,,,,,,Y,11209,310,43
11373,03/09/2016,Mobilitie I,CITY,Brooklyn,976904,169756,40.6326150,-74.0264660,B,73rd Ave,3rd Ave,4th Ave,,,,,,Y,11209,310,43
10702,09/02/2015,Mobilitie I,CITY,Brooklyn,975666,166377,40.6233390,-74.0309220,B,86TH ST,3RD AV,4TH AV,,,,,,Y,11209,310,43
10701,09/02/2015,Mobilitie I,CITY,Brooklyn,973169,164886,40.6192440,-74.0399150,B,SHORE RD.,OLIVER ST.,92ND ST.,,,,,,Y,11209,310,43
10700,09/02/2015,Mobilitie I,CITY,Brooklyn,973450,164148,40.6172180,-74.0389010,B,SHORE RD.,RIDGE BLVD.,94TH ST,,,,,,Y,11209,310,43
10696,09/02/2015,Mobilitie I,CITY,Brooklyn,974467,162865,40.6136980,-74.0352360,B,3RD AV,100TH ST,99TH ST,,,,,,Y,11209,310,43
12631,08/10/2016,Mobilitie I,CITY,Queens,1040247,197633,40.7089560,-73.7980220,B,Hillside Ave,164th St,165th St,,,,,,Y,11432,412,24
12356,08/10/2016,Mobilitie I,CITY,Queens,1039261,196353,40.7054490,-73.8015890,B,Parsons Blvd,89th Ave,90th Ave,,,,,,Y,11432,412,24
12348,08/10/2016,Mobilitie I,CITY,Queens,1039140,196833,40.7067680,-73.8020220,B,88th Ave,Parsons Blvd,(Dead End),,,,,,Y,11432,412,24
12521,08/10/2016,Mobilitie I,CITY,Queens,1037983,195660,40.7035550,-73.8062040,B,90TH AVE,149TH ST,150TH ST,,,,,,Y,11435,412,24
12519,08/10/2016,Mobilitie I,CITY,Queens,1035752,194685,40.7008920,-73.8142580,B,138TH ST,90TH AVE,91ST AVE,,,,,,Y,11435,412,24
12308,08/10/2016,Mobilitie I,CITY,Queens,1037493,196237,40.7051420,-73.8079670,B,148TH ST,88TH AVE,89TH AVE,,,,,,Y,11435,412,24
11275,12/14/2015,ZenFi,CITY,Queens,1036079,195248,40.7024360,-73.8130740,B,jamaica av,139th st,138th pl,,,,,,Y,11435,412,24
12573,08/10/2016,Mobilitie I,CITY,Queens,1035668,205373,40.7302290,-73.8144790,B,71st Ave,Kissena Blvd,156th St,,,,,,Y,11367,408,24
12503,08/10/2016,Mobilitie I,CITY,Queens,1036528,206179,40.7324360,-73.8113700,B,Jewel Ave,Parsons Blvd,Kissena Blvd,,,,,,Y,11367,408,24
12501,08/10/2016,Mobilitie I,CITY,Queens,1033301,205086,40.7294540,-73.8230220,B,Main st,70th ave,Jewel ave,,,,,,Y,11367,408,24
12490,08/10/2016,Mobilitie I,CITY,Queens,1034854,202561,40.7225150,-73.8174370,B,147th St,76th Rd,77th Ave,,,,,,Y,11367,408,24
12475,08/10/2016,Mobilitie I,CITY,Queens,1033088,208768,40.7395620,-73.8237630,B,Reeves Ave,146th Pl,146th St,,,,,BOWN HS,Y,11367,408,24
12224,08/10/2016,Mobilitie I,CITY,Queens,1036933,202475,40.7222670,-73.8099380,B,Parsons blvd,78th ave,78th rd,,,,,,Y,11367,408,24
12194,08/10/2016,Mobilitie I,CITY,Queens,1034508,205262,40.7299310,-73.8186650,B,150th St,70th Rd,Jewel Ave,,,,,,Y,11367,408,24
12193,08/10/2016,Mobilitie I,CITY,Queens,1032824,206293,40.7327700,-73.8247340,B,Main St,68th Rd,68th Ave,,,,,,Y,11367,408,24
12192,08/10/2016,Mobilitie I,CITY,Queens,1033811,205230,40.7298470,-73.8211800,B,147th St,70th Ave,70th Rd,,,,,,Y,11367,408,24
12191,08/10/2016,Mobilitie I,CITY,Queens,1035727,204023,40.7265230,-73.8142770,B,153rd St,73rd Ave,75th Ave,,,,,,Y,11367,408,24
12190,08/10/2016,Mobilitie I,CITY,Queens,1033525,204017,40.7265190,-73.8222210,B,72nd Ave,Main St,141st St,,,,,,Y,11367,408,24
12189,08/10/2016,Mobilitie I,CITY,Queens,1034115,204567,40.7280250,-73.8200880,B,147th St,71st Rd,71st Ave,,,,,,Y,11367,408,24
