Id,X Coord.,Y Coord.,Latitude,Longitude,Zone,Franchisee,On street,Cross street 1,Cross street 2,Borough,Pole type,BID Advisory,Historic Advisory,NYSDOT Advisory,Park Advisory,Port Auth Advisory,School Advisory,Submission date,Equipment Installed? (Yes/No)
2040,990378,221185,40.773776,-73.977875,A,"Extenet Systems, INC. II",CENTRAL PK W,W 68 ST,W 69 ST,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Upper West Side/Central Park West Historic District,,,,,Jun-16-2005,Yes
2041,990920,222025,40.776081,-73.975917,A,"Extenet Systems, INC. II",CENTRAL PK W,TERRACE DR,W 71 ST,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Central Park,,,,,Jun-16-2005,Yes
2042,991563,223321,40.779638,-73.973594,A,"Extenet Systems, INC. II",Central Park West,77th Street,81st Street,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Upper West Side/Central Park West Historic District,,,,,Jun-16-2005,Yes
2043,992114,224172,40.781973,-73.971604,A,"Extenet Systems, INC. II",CENTRAL PK W,TRANSVERSE RD 2,W 82 St,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Central Park,,,,,Jun-16-2005,Yes
2044,992730,225433,40.785434,-73.969378,A,"Extenet Systems, INC. II",Central Park West,86th Street,87th Street,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Upper West Side/Central Park West Historic District,,,,,Jun-16-2005,Yes
2047,993249,220420,40.771674,-73.967511,A,"Extenet Systems, INC. II",5th Avenue,71st Street,70th Street,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Upper East Side Historic District,,,,,Jun-16-2005,Yes
2048,992744,219509,40.769174,-73.969335,A,"Extenet Systems, INC. II",5th Avenue,67th Street,66th Street,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Upper East Side Historic District,,,,,Jun-16-2005,Yes
2049,992493,219051,40.767917,-73.970242,A,"Extenet Systems, INC. II",5th Avenue,65th Street,64th Street,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Upper East Side Historic District,,,,,Jun-16-2005,Yes
2064,987699,221769,40.77538,-73.987547,A,"Extenet Systems, INC. II",West End Avenue,65th Street,66th Street,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2066,986690,219928,40.770328,-73.991191,A,"Extenet Systems, INC. II",11th Avenue,57th Street,58th Street,Manhattan,Mixed Traffic And Street Pole,,,,,,This pole is located within 20 feet of the following school: JOHN JAY COLLEGE BMW BUILDING,Jun-16-2005,Yes
2069,990727,217947,40.764888,-73.976618,A,"Extenet Systems, INC. II",6th Avenue,58th Street,57th Street,Manhattan,Traffic Light Pole,,,,,,,Jun-16-2005,Yes
2071,989803,218125,40.765377,-73.979954,A,"Extenet Systems, INC. II",57th Street,7th Avenue,6th Avenue,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2072,991867,217914,40.764797,-73.972503,A,"Extenet Systems, INC. II",5th Avenue,60th Street,59th Street,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Upper East Side Historic District,,,,,Jun-16-2005,Yes
2074,992543,216946,40.762139,-73.970064,A,"Extenet Systems, INC. II",58th Street,Park Ave,Lexington Ave,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2075,990867,218173,40.765508,-73.976113,A,"Extenet Systems, INC. II",Central Park South,6th Avenue,Grand Army Plaza,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2076,990074,218615,40.766722,-73.978975,A,"Extenet Systems, INC. II",Central Park South,7th Avenue,6th Avenue,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2077,992155,217509,40.763685,-73.971464,A,"Extenet Systems, INC. II",Madison Avenue,59th Street,60th Street,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2125,992899,211663,40.747638,-73.968785,A,"Extenet Systems, INC. II",FDR DR SVC RD W,E 41 ST,E 42 ST,Manhattan,Streetlight Pole,,,,,,,Jun-16-2005,Yes
2127,992279,210748,40.745127,-73.971024,A,"Extenet Systems, INC. II",FDR DR SVC RD W,E 37 ST,E 36 ST,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2128,991742,210457,40.744329,-73.972962,A,"Extenet Systems, INC. II",1st Avenue,35th Street,34th Street,Manhattan,Streetlight Pole,,,,,,,Jun-16-2005,Yes
2129,991661,208983,40.740284,-73.973256,A,"Extenet Systems, INC. II",FDR DR W LA,E 30 ST,E 29 ST,Manhattan,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: HUNTER COLL BROOKDALE W BUILDING,Jun-16-2005,Yes
2132,991399,209995,40.743061,-73.974201,A,"Extenet Systems, INC. II",1st Avenue,33rd Street,32nd Street,Manhattan,Streetlight Pole,,,,,,,Jun-16-2005,Yes
2133,991897,210000,40.743075,-73.972404,A,"Extenet Systems, INC. II",FDR DR W LA,E 34 ST,E 30 ST,Manhattan,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: NYU ARNOLD & MARIE SCHWARTZ LECTURE HALL,Jun-16-2005,Yes
2135,983716,214572,40.755627,-74.001927,A,"Extenet Systems, INC. II",11th Avenue,34th Street,33rd Street,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jun-16-2005,Yes
2136,984229,215499,40.758171,-74.000076,A,"Extenet Systems, INC. II",11th Avenue,38th Street,37th Street,Manhattan,Traffic Light Pole,,,,,,,Jun-16-2005,Yes
2142,985372,206312,40.732955,-73.995952,A,"Extenet Systems, INC. II",5th Avenue,9th Street,10th Street,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Greenwich Village Historic District,,,,,Jun-16-2005,Yes
2143,984541,205477,40.730664,-73.99895,A,"Extenet Systems, INC. II",WASHINGTON SQ S,SULLIVAN ST,MAC DOUGAL ST,Manhattan,Streetlight Pole,,This pole is located within the following historic area: South Village Historic District,,,,This pole is located within 20 feet of the following school: NEW YORK UNIVERSITY - VANDERBILT HALL,Jun-16-2005,Yes
2182,980813,194878,40.701571,-74.012396,A,"Extenet Systems, INC. II",South Street,Whitehall Street,Broad Street,Manhattan,Streetlight Pole,,,,,,,Jun-16-2005,Yes
2183,980706,195258,40.702614,-74.012782,A,"Extenet Systems, INC. II",Whitehall Street,Water Street,Pearl Street,Manhattan,Streetlight Pole,,,,,,,Jun-16-2005,Yes
2194,979915,198539,40.711619,-74.015637,A,"Extenet Systems, INC. II",Liberty Street,South End Avenue,West Street,Manhattan,Streetlight Pole,,,,,,,Jun-16-2005,Yes
2345,984662,206060,40.732264,-73.998513,A,"Extenet Systems, INC. II",MAC DOUGAL ST,WASHINGTON SQ N,MAC DOUGAL AL,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Greenwich Village Historic District,,,,,Jun-16-2005,Yes
2346,985483,205472,40.73065,-73.995551,A,"Extenet Systems, INC. II",WAVERLY PL,WASHINGTON SQ E,GREENE ST,Manhattan,Mixed Traffic And Street Pole,,,,,,This pole is located within 20 feet of the following school: NEW YORK UNIVERSITY - SILVER CENTER FOR ARTS AND SCIENCE,Jun-16-2005,Yes
2347,985752,205049,40.729489,-73.994581,A,"Extenet Systems, INC. II",Washington Place,Mercer Street,Greene Street,Manhattan,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: NYU MERCER LOUNGE,Jun-16-2005,Yes
2349,985420,204909,40.729104,-73.995779,A,"Extenet Systems, INC. II",West 4th Street,Greene Street,Mercer Street,Manhattan,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: NEW YORK UNIVERSITY - TISCH HALL,Jun-16-2005,Yes
2350,985713,204404,40.727718,-73.994722,A,"Extenet Systems, INC. II",Broadway,Great Jones Street,Bond Street,Manhattan,Traffic Light Pole,,This pole is located within the following historic area: NoHo Historic District,,,,,Jun-16-2005,Yes
2351,985175,204151,40.727024,-73.996663,A,"Extenet Systems, INC. II",Mercer Street,Bleeker Street,West 3rd Street,Manhattan,Streetlight Pole,,,,,,,Jun-16-2005,Yes
2455,997035,230061,40.798131,-73.953824,B,"Extenet Systems, INC. II",CP LENOX AP,EAST DR,CENTRAL PK N,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Central Park,,This pole is located within the following park: Central Park,,,Jun-16-2005,Yes
2457,993883,224800,40.783695,-73.965215,A,"Extenet Systems, INC. II",TRANSVERSE RD 3,CENTRAL PK W,5th Ave,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Central Park,,This pole is located within the following park: Central Park,,,Jun-16-2005,Yes
2489,993173,222912,40.778514,-73.967782,A,"Extenet Systems, INC. II",79th St Traverse,5th Avenue,Central Park West,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Central Park,,This pole is located within the following park: Central Park,,,Jun-16-2005,Yes
4193,961445,163122,40.614379,-74.08214,B,Crown Castle NG East LLC,Park Hill Avenue,Sobel Court,Roff Street,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4194,938426,165569,40.621007,-74.165067,B,Crown Castle NG East LLC,Farragut Avenue,Regis Drive,Regal Walk,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4195,940683,165043,40.619574,-74.156933,B,Crown Castle NG East LLC,Lenore Court,Regis Drive,Ada Drive,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4196,943136,162785,40.613388,-74.148083,B,Crown Castle NG East LLC,Holgate Street,Hawthorn Avenue,Willowbrook Road,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4197,962573,174700,40.646161,-74.078114,B,Crown Castle NG East LLC,Richmond Terrace,Stuyvesant Place,Hamilton Avenue,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4198,1048934,215242,40.757229,-73.76652,B,Crown Castle NG East LLC,215th St,47th Ave,46th Rd,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4199,1049800,212350,40.749285,-73.763422,B,Crown Castle NG East LLC,58th Ave,215th St,214th St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4200,956584,160913,40.608302,-74.099639,B,Crown Castle NG East LLC,Hewitt Avenue,Michael Loop,Hewitt Avenue (dead end),Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4202,939539,150769,40.580389,-74.160959,B,Crown Castle NG East LLC,Elmwood Park Drive,Devon Loop,Devon Loop,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4203,1031931,214071,40.754123,-73.827901,B,Crown Castle NG East LLC,Main St,Franklin Ave,Blossom Ave,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4204,940044,153084,40.586746,-74.159157,B,Crown Castle NG East LLC,Rockne Street,Nome Avenue,Elwood Avenue,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4205,1033207,209596,40.741834,-73.823328,B,Crown Castle NG East LLC,Horace Harding Expy,146th St,148th St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4207,1017481,239204,40.823173,-73.879932,B,Crown Castle NG East LLC,Bruckner Blvd,Evergreen Ave,Colgate Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4208,1031418,220129,40.770754,-73.82971,B,Crown Castle NG East LLC,31st Rd,139th St,138th St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4209,1026850,223010,40.778685,-73.846184,B,Crown Castle NG East LLC,College Point Blvd,23rd Ave,22nd Ave,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4210,1032944,228479,40.793664,-73.82414,B,Crown Castle NG East LLC,Whitestone Expwy,6th Ave,7th Ave,Queens,Streetlight Pole,,,This pole may be locate on the following NYS highway: WHITESTONE BR,,,,Apr-10-2008,Yes
4211,1045035,224506,40.782684,-73.780509,B,Crown Castle NG East LLC,18th Ave,212th St,211th St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4212,1044395,223119,40.778882,-73.782833,B,Crown Castle NG East LLC,23rd Ave,Corporal Kennedy St,211th St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4214,1020133,238157,40.820289,-73.870356,B,Crown Castle NG East LLC,Lafayette Ave,Metcalf Ave,Clason Pt Ln,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4215,1044077,224147,40.781705,-73.783972,B,Crown Castle NG East LLC,18th Ave,211th St,Corporal Kennedy St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4216,1037767,218772,40.766993,-73.806799,B,Crown Castle NG East LLC,158th St,33rd Ave,35th Ave,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4217,1021758,239336,40.823518,-73.864478,B,Crown Castle NG East LLC,Story Ave,Taylor Ave,Rosedale Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4218,1055732,213295,40.751833,-73.742003,B,Crown Castle NG East LLC,W Alley Rd,Douglaston Pkwy,Cross Island Pkwy N,Queens,Streetlight Pole,,,,This pole is located within the following park: Alley Pond Park,,,Apr-10-2008,Yes
4220,1019699,240615,40.827037,-73.871911,B,Crown Castle NG East LLC,Watson Ave,E Metcalf Ave,Fteley Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4221,1046929,212556,40.749871,-73.773782,B,Crown Castle NG East LLC,Clearview Expy,53rd Ave,56th Ave,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4222,1029445,239763,40.824654,-73.836701,B,Crown Castle NG East LLC,Lafayette Ave,Hutchinson River Parkway SR,Brush Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4223,1045421,226486,40.788116,-73.779098,B,Crown Castle NG East LLC,14th Ave,Bell Blvd,15th Rd,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4224,1039342,221343,40.77404,-73.801092,B,Crown Castle NG East LLC,163rd St,25th Dr,25th Ave,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4226,1040260,228208,40.792877,-73.797721,B,Crown Castle NG East LLC,166th St,9th Ave,12th Ave,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4227,1039768,228688,40.794197,-73.799494,B,Crown Castle NG East LLC,Powells Cove Blvd,162nd St,166th St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4228,1019951,243358,40.834565,-73.870986,B,Crown Castle NG East LLC,E 174th St,Noble Ave,Croes Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4230,1040824,228526,40.793746,-73.795681,B,Crown Castle NG East LLC,Totten St,Powells Cove Blvd,9th Ave,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4231,1021716,244554,40.83784,-73.864601,B,Crown Castle NG East LLC,Leland Ave,Archer St,Guerlain St,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4232,1039592,227559,40.7911,-73.800138,B,Crown Castle NG East LLC,162nd St,12th Ave,11th Ave,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4233,1022561,247331,40.845458,-73.861531,B,Crown Castle NG East LLC,Matthews Ave,Kinsella St,Morris Park Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4234,1040787,227742,40.791594,-73.795821,B,Crown Castle NG East LLC,12th Ave,Totten St,Utopia Pkwy,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4235,1034963,217750,40.764204,-73.81693,B,Crown Castle NG East LLC,38th Ave,149th St,147th St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4236,1024938,243340,40.834494,-73.852964,B,Crown Castle NG East LLC,Purdy St,Westchester Ave,Starling Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4237,1040183,217262,40.762833,-73.79809,B,Crown Castle NG East LLC,Crocheron Ave,168th St,167th St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4238,1037257,217613,40.763815,-73.808649,B,Crown Castle NG East LLC,Northern Blvd,157th St,Roosevelt Ave,Queens,Streetlight Pole,,,This pole may be locate on the following NYS highway: NORTHERN BL,,,,Apr-10-2008,Yes
4239,1022979,244527,40.83776,-73.860036,B,Crown Castle NG East LLC,Metropolitan Ave,Unionport Rd,Parkchester Rd,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4240,1032726,216500,40.760786,-73.825014,B,Crown Castle NG East LLC,Roosevelt Ave,Bowne St,Union St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4241,1033286,215940,40.759246,-73.822997,B,Crown Castle NG East LLC,Barclay Ave,Bowne St,Parsons Blvd,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4242,1023495,243542,40.835055,-73.858177,B,Crown Castle NG East LLC,McGraw Ave,Pugsley Ave,Metropolitan Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4243,1033952,215835,40.758954,-73.820593,B,Crown Castle NG East LLC,Sanford Ave,Parsons Blvd,147th St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4244,1030828,217315,40.763033,-73.83186,B,Crown Castle NG East LLC,Northern Blvd,Main St,Farrington St,Queens,Streetlight Pole,,,,This pole is located within the following park: Flushing Greens,,,Apr-10-2008,Yes
4245,1033175,214130,40.754279,-73.82341,B,Crown Castle NG East LLC,Kissena Blvd,Beech Ave,Cherry Ave,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4246,1020230,244624,40.838038,-73.869971,B,Crown Castle NG East LLC,Rosedale Ave,Mansion St,Bronx River Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4247,1032921,213180,40.751672,-73.824334,B,Crown Castle NG East LLC,Elder Ave,Colden St,Byrd St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4248,1033618,214242,40.754583,-73.821811,B,Crown Castle NG East LLC,Cherry Ave,Union St,Kissena Blvd,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4249,1019632,242508,40.832233,-73.872143,B,Crown Castle NG East LLC,E 172nd St,Fteley Ave,Croes Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4250,1032228,215154,40.757094,-73.826821,B,Crown Castle NG East LLC,Kissena Blvd,Sanford Ave,Maple Ave,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4251,1036747,206557,40.733472,-73.810577,B,Crown Castle NG East LLC,Parsons Blvd,no street name,Jewel Ave,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4253,1053076,211170,40.746022,-73.751611,B,Crown Castle NG East LLC,224th St,67th St,223rd Pl,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4256,1020930,239986,40.825305,-73.867466,B,Crown Castle NG East LLC,Bruckner Blvd,Rosedale Ave,Beach Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4257,1057945,215309,40.757343,-73.733993,B,Crown Castle NG East LLC,57th Dr,246th Cres,61st  Ave,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4258,1018520,242261,40.831559,-73.876162,B,Crown Castle NG East LLC,E 172nd St,Stratford Ave,Manor Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4259,1057485,215889,40.758939,-73.735647,B,Crown Castle NG East LLC,Horace Harding Expwy S,244th St,Marathon Pkwy,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4260,1022661,250599,40.854428,-73.861151,B,Crown Castle NG East LLC,Lydig Ave,Bogart Ave,Muliner Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4261,1021139,250310,40.853641,-73.866654,B,Crown Castle NG East LLC,Cruger Ave,Maran Pl,Brady Ave,Bronx,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: PS 105 SEN ABRAHAM BERNSTEIN,Apr-10-2008,Yes
4263,1020198,245800,40.841266,-73.87008,B,Crown Castle NG East LLC,Van Nest Ave,Van Buren St,Melville St,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4264,1022393,243747,40.835622,-73.862159,B,Crown Castle NG East LLC,Wood Ave,Wood Rd,Virginia Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4265,1023948,245439,40.840259,-73.856529,B,Crown Castle NG East LLC,Metropolitan Ave,Redwood Oak Dr,Purdy St,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4268,1057771,190018,40.687927,-73.734898,B,Crown Castle NG East LLC,120th Ave,229th St,228th St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4269,1058726,188875,40.684782,-73.731467,B,Crown Castle NG East LLC,121st Ave,234th St,233rd St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4270,1058051,187258,40.680349,-73.733918,B,Crown Castle NG East LLC,130th Ave,233rd St,234th St,Queens,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4272,1014688,261636,40.884752,-73.889922,B,Crown Castle NG East LLC,Van Cortlandt Pkwy S,Hillman Ave,Gouverneur Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4273,1010771,259435,40.878724,-73.904096,B,Crown Castle NG East LLC,W 231st St,Albany Crescent,Broadway,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4274,1009049,262333,40.886683,-73.910312,B,Crown Castle NG East LLC,W 236th St,Netherland Ave,Johnson Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4275,1010072,270160,40.908162,-73.906582,B,Crown Castle NG East LLC,Arlington Ave,Sigma Pl,W 259th St,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4276,1012764,265685,40.895872,-73.896863,B,Crown Castle NG East LLC,Broadway,W 251st St,W 252nd St,Bronx,Streetlight Pole,,,This pole may be locate on the following NYS highway: BROADWAY,,,,Apr-10-2008,Yes
4277,1012938,268445,40.903446,-73.896221,B,Crown Castle NG East LLC,Broadway,W 256th St,Moshulu Ave,Bronx,Streetlight Pole,,,This pole may be locate on the following NYS highway: BROADWAY,,,,Apr-10-2008,Yes
4278,1010193,258614,40.876472,-73.906189,B,Crown Castle NG East LLC,Exterior St,W 230th Street,W Kingsbridge Rd,Bronx,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: MARIE SMITH ACADEMY,Apr-10-2008,Yes
4280,1021371,249060,40.850209,-73.865823,B,Crown Castle NG East LLC,Bronxdale Ave,Hunt Ave,Antin Pl,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4281,1021142,252102,40.858559,-73.866634,B,Crown Castle NG East LLC,Cruger Ave,Pelham Pkwy N,Astor Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4282,1009472,257663,40.873864,-73.9088,C,Crown Castle NG East LLC,W 225th St,Broadway,Exterior St,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4283,1008480,258082,40.875017,-73.912386,B,Crown Castle NG East LLC,W 225th St,Jacobus Pl,Adrian Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4284,1026926,262228,40.886326,-73.84566,B,Crown Castle NG East LLC,E 229th St,229th Dr South,229th Dr North,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4285,1011749,255917,40.869065,-73.900574,B,Crown Castle NG East LLC,University Ave,Eames Ave,W Kingsbridge Rd,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4286,1013889,260846,40.882586,-73.892815,B,Crown Castle NG East LLC,Sedgwick Ave,Van Cortlandt Ave W,Stevenson Pl,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4287,942493,153234,40.58717,-74.15034,B,Crown Castle NG East LLC,Evans Street,Mcveigh Avenue,Travis Avenue,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4290,941947,154657,40.591073,-74.152315,B,Crown Castle NG East LLC,Shirra Avenue,Rockland Avenue,Mc Divitt Aveue,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4291,1021658,252459,40.859537,-73.864766,B,Crown Castle NG East LLC,Astor Ave,Wallace Ave,Holland Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4292,1022852,257385,40.873052,-73.860421,B,Crown Castle NG East LLC,Duncan St,Radcliff Ave,Bronxwood Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4293,934654,164258,40.617388,-74.178644,B,Crown Castle NG East LLC,Gulf Avenue,Bloomfield Avenue,Forrest Avenue,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4294,935956,163072,40.61414,-74.173946,B,Crown Castle NG East LLC,South Avenue,Lois Lane,Lamberts Lane,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4295,933276,161696,40.610348,-74.183589,B,Crown Castle NG East LLC,Edward Curry Avenue,Gulf Avenue,Chelsea Road,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4296,934490,160836,40.607994,-74.17921,B,Crown Castle NG East LLC,South Avenue,Teleport Drive,Teleport Drive,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4297,948399,144631,40.563582,-74.129031,B,Crown Castle NG East LLC,N. Railroad Avenue,Windemere Avenue,Riedel Avenue,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4299,928725,140316,40.551637,-74.199804,B,Crown Castle NG East LLC,Ashton Drive,Mimosa Lane,Dogwood Drive,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4300,942280,152304,40.584616,-74.151101,B,Crown Castle NG East LLC,Lewiston Street,Furness Place,Bangor Street,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4303,1031683,247676,40.846361,-73.828559,B,Crown Castle NG East LLC,Mahan Ave,Roberts Ave,Buhre Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4304,938487,153257,40.587213,-74.164763,B,Crown Castle NG East LLC,Richmond Hill Road,Country Drive West,Rascal Court,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4306,941050,150232,40.578923,-74.155516,B,Crown Castle NG East LLC,Forest hill Road,Pierpont Place,Richmond Hill Road,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4307,939054,150097,40.578542,-74.162701,B,Crown Castle NG East LLC,Kathy Place,Windham Loop,Kathy Place (dead end),Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4310,1020649,255057,40.866672,-73.8684,B,Crown Castle NG East LLC,Ollinville Ave,Britton St,Arnow Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4312,930263,141066,40.553705,-74.194275,B,Crown Castle NG East LLC,Hampton Green,Barclay Circle,Regent Circle,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4313,1024496,256749,40.871299,-73.854481,B,Crown Castle NG East LLC,Burke Ave,Yates Ave,Hering Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4316,927576,126577,40.513919,-74.203823,B,Crown Castle NG East LLC,Indale Avenue,Marine drive,Admirality Loop,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4317,925404,138398,40.546351,-74.211737,B,Crown Castle NG East LLC,Gervil Street,Correll Avenue,Locust Court,Staten Island,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4318,1025716,256096,40.869501,-73.850074,B,Crown Castle NG East LLC,Bouck Ave,Adee Ave,Burke Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
4319,1022442,251924,40.858065,-73.861935,B,Crown Castle NG East LLC,Bronxwood Ave,Pelham Pkwy N,Astor Ave,Bronx,Streetlight Pole,,,,,,,Apr-10-2008,Yes
