Id,X Coord.,Y Coord.,Latitude,Longitude,Zone,Franchisee,On street,Cross street 1,Cross street 2,Borough,Pole type,BID Advisory,Historic Advisory,NYSDOT Advisory,Park Advisory,Port Auth Advisory,School Advisory,Submission date,Equipment Installed? (Yes/No)
17358,1016936,249813,40.852293,-73.88185,B,"Crown Castle Fiber, LLC",Dr Theodore Kazimiroff Blvd,E 185th St,E 187th St,Bronx,Mixed Traffic And Street Pole,,,,,,,Dec-22-2017,No
17359,1011241,255828,40.868822,-73.902411,B,"Crown Castle Fiber, LLC",W Kingsbridge Rd,Webb Ave,Sedgwick Ave,Bronx,Traffic Light Pole,,,,,,,Dec-22-2017,Yes
17361,988474,195199,40.702452,-73.984766,B,Crown Castle NG East LLC,Bridge St,Front St,Water St,Brooklyn,Streetlight Pole,,This pole is located within the following historic area: DUMBO Historic District,,,,,Dec-12-2017,No
17362,989003,195408,40.703025,-73.982858,B,Crown Castle NG East LLC,Water St,Gold St,Bridge St,Brooklyn,Streetlight Pole,,,,,,,Dec-12-2017,No
17363,988519,195438,40.703108,-73.984603,B,Crown Castle NG East LLC,Bridge St,Water St,Plymouth St,Brooklyn,Streetlight Pole,,This pole is located within the following historic area: DUMBO Historic District,,,,,Dec-12-2017,No
17368,986093,194903,40.70164,-73.993353,B,Crown Castle NG East LLC,Vine St,McKenny St,Columbia Heights,Brooklyn,Streetlight Pole,,,,,,,Dec-12-2017,No
17372,998984,197888,40.709821,-73.946855,B,Crown Castle NG East LLC,Leonard St,Ten Eyck St,Stagg St,Brooklyn,Streetlight Pole,,,,,,,Dec-12-2017,No
17373,1000774,198117,40.710447,-73.940398,B,Crown Castle NG East LLC,Bushwick Ave,Stagg St,Maujer St,Brooklyn,Streetlight Pole,,,,,,,Dec-12-2017,No
17374,1034834,195298,40.70258,-73.817564,B,Crown Castle NG East LLC,Metropolitan Ave,Kew Gardens Rd,Jamaica Ave,Queens,Streetlight Pole,,,,,,,Dec-12-2017,No
17375,1039595,195264,40.702458,-73.800393,B,Crown Castle NG East LLC,Archer Ave,Parsons Blvd,153rd St,Queens,Streetlight Pole,,,,,,,Dec-12-2017,No
17376,1024963,208715,40.739457,-73.853083,B,Crown Castle NG East LLC,108th St,Waldron St,Westside Ave,Queens,Streetlight Pole,,,,,,,Dec-12-2017,No
17377,1025701,208887,40.739926,-73.850419,B,Crown Castle NG East LLC,Saultell Ave,Van Cleef St,Van Doren St,Queens,Streetlight Pole,,,,,,,Dec-12-2017,No
17378,1019902,208926,40.740058,-73.871345,B,Crown Castle NG East LLC,51st Ave,92nd St,93rd St,Queens,Traffic Light Pole,,,,,,,Dec-12-2017,No
17379,998075,211452,40.747053,-73.950106,B,Crown Castle NG East LLC,11th St,45th Rd,46th Ave,Queens,Streetlight Pole,,,,,,,Dec-12-2017,No
17383,1016423,213251,40.751943,-73.883879,B,Crown Castle NG East LLC,35th Ave,83rd St,82nd St,Queens,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Jackson Heights Historic District,,,,,Dec-12-2017,No
17387,997815,227607,40.791394,-73.951011,C,Crown Castle Solutions Corp.,Madison Ave,E 103rd St,E 102ns St,Manhattan,Streetlight Pole,,,,,,,Dec-11-2017,No
17388,998068,228066,40.792654,-73.950097,C,Crown Castle Solutions Corp.,Madison Ave,E 105th St,E 104th st,Manhattan,Streetlight Pole,,,,,,,Dec-11-2017,Yes
17389,999276,243505,40.835027,-73.945699,B,Crown Castle NG East LLC,Edward M Morgan Pl,Riverside Dr,W 157th St,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Audubon Park Historic District,,,,,Dec-12-2017,No
17395,1019105,219195,40.768247,-73.874168,B,Crown Castle NG East LLC,23rd Ave,96th St,97th St,Queens,Streetlight Pole,,,,,,,Dec-12-2017,No
17396,994758,235168,40.812151,-73.96204,B,Crown Castle NG East LLC,W 122nd St,Claremont Ave,Broadway,Manhattan,Streetlight Pole,,,,,,,Dec-12-2017,No
17399,998252,240513,40.826817,-73.949406,B,Crown Castle NG East LLC,W 146th St,Broadway,Amsterdam Ave,Manhattan,Streetlight Pole,,,,,,,Dec-12-2017,Yes
17400,1000089,243404,40.834749,-73.942762,B,Crown Castle NG East LLC,W 159th St,Broadway,Amsterdam Ave,Manhattan,Streetlight Pole,,,,,,,Dec-12-2017,Yes
17401,1024524,209118,40.740565,-73.854665,B,Crown Castle NG East LLC,Van Doren St,Otis Ave,Martense Ave,Queens,Streetlight Pole,,,,,,,Dec-12-2017,No
17402,997432,240509,40.826807,-73.952369,B,Crown Castle NG East LLC,Riverside Dr,W 145th St,W 144th St,Manhattan,Streetlight Pole,,,,,,,Dec-12-2017,No
17405,1002784,216244,40.760197,-73.933098,B,Crown Castle NG East LLC,35th Ave,24th St,21st St,Queens,Traffic Light Pole,,,,,,,Dec-12-2017,No
17410,998743,176447,40.650971,-73.94777,B,Crown Castle NG East LLC,Church Ave,Raleigh Pl,Fairview Pl,Brooklyn,Streetlight Pole,,,,,,,Dec-12-2017,No
